id	word	context	w_word	wo_word	followup	with-without_diff	subset
9268	just	Hi, Jane. How are you doing this morning?	I’m all right, thanks. Just a little tired.	I’m all right, thanks. A little tired.	Late night?	0.02913338124	h
788	just	Excuse me. Does this bus go by Tiananmen square?__eou__Yes, it does.__eou__At which stop should I get off?	There is a stop at Tiananmen Square. The stops will be announced on the bus both in English and Chinese. When the stop is coming, you just push the red button near the rear door if you want to get off.	There is a stop at Tiananmen Square. The stops will be announced on the bus both in English and Chinese. When the stop is coming, you push the red button near the rear door if you want to get off.	Okay, thanks very much.	0.02825611798	h
5758	just	Do you like the Harry potter books and movies?__eou__Not really!__eou__Why not? They are very fun and exiting.	Maybe, but I think they are just for kids.	Maybe, but I think they are for kids.	No, that’s not true. Many adults like the Harry potter books too.	0.02806011798	h
7873	just	How are you getting along with your wife now?__eou__What can you expect? Not that good.__eou__What are you going to do then?	Just let it go.	Let it go.	How are your work now?	0.02794625726	h
2141	just	I am sorry for damaging your car, sir.	Don't worry about it. Just leave it to the insurance companies.	Don't worry about it. Leave it to the insurance companies.	The car park in this community is over crowded, isn't it?	0.02786302372	h
5388	just	Hey Mike. What are you doing?__eou__Nothing much. What are you up to?	I was just concerned about Sam. He hasn't been himself lately.	I was concerned about Sam. He hasn't been himself lately.	He took the civil service exam and failed.	0.02709298854	h
1001	just	Hello! Are you shopping here today? Haven't I seen you in some flea markets and thrift shops a couple of times?	I'm just comparing prices.	I'm comparing prices.	You should! This thrift shop is really cheap, though, you have to pay cash here.	0.02709035556	h
9687	just	Excuse me, here is my claim tag, but I can't find my baggage.__eou__How many pieces of baggage have you lost?	Just one piece.	One piece.	Can you tell me the features of your baggage?	0.02405284207	h
6768	just	Kathy! How are you? It's been ages! What are you doing these days?	I just opened my own restaurant. I'm also head chef.	I opened my own restaurant. I'm also head chef.	You're kidding! You've always hated cooking!	0.02267206632	h
12662	just	Is everything all right?__eou__Not at all.__eou__What's the problem?	Someone just robbed me.	Someone robbed me.	What do you mean?	0.02180614444	h
1461	just	Operator. May I help you?__eou__Yes. How do I get an outside line, please?	Just dial 0, wait for the dial tone, and then dial the phone number you want to call. Or we can place a call for you, if you want.	Dial 0, wait for the dial tone, and then dial the phone number you want to call. Or we can place a call for you, if you want.	No, thanks a lot. I'll try it myself.	0.01967432211	h
10555	just	Has everything been OK with you lately?__eou__I haven’t been able to get a good night’s sleep lately. I’m exhausted!__eou__Have you been too busy to get enough sleep?	I try to go to sleep, but I just can’t stay asleep.	I try to go to sleep, but I can’t stay asleep.	How late do you try to go to sleep?	0.0194706054	h
2164	just	I love breathing fresh air in the suburb places, while sitting in the morning sunshine.__eou__I can't agree more, honey. We need to get away from work from time to time.	Yeah, just return to nature and feel the thrills of its beauty.	Yeah, return to nature and feel the thrills of its beauty.	We are nor alone here. So many other families!	0.01945697337	h
6675	just	I think modern painting means nothing.	I think so too. It's just pointless.	I think so too. It's pointless.	Then why are so many guys so crazy about it?	0.01945145069	h
8011	just	I can't believe it! I lost.__eou__It looks like you have to buy tickets for us, Jason. And we're not going to see an action movie!__eou__That's not fair, you got all the easy questions.	I guess that's just the luck of the draw.	I guess that's the luck of the draw.	I want a rematch. Let's play again.	0.01936019031	h
3966	just	Daniel, would you like to have a look at my dorm?__eou__Of course, I'd like to.	It is a small room, just for 4 people.	It is a small room, for 4 people.	What is in it?	0.01921202135	h
2438	just	OK, so are you ready to learn how to bake a cake?	Almost, let me just put my apron on.	Almost, let me put my apron on.	OK, so the first thing we are going to do is pre-heat the oven, that way we have it at the desired temperature once we finish preparing everything. Set it to three hundred and seventy five degrees Fahrenheit.	0.0110856564	h
3236	just	Can I help you?__eou__I'd like the double cheese burger meal, please.__eou__What kind of drink would you like with that?	Just coke will be fine.	Coke will be fine.	Would you like a super size meal? Only 2 RIB more, you'll get large coke and fries instead of medium. And today we are offering free toys all the meal boxes.	0.01050724578	h
1907	just	How was your morning jog?__eou__Very good. I feel quite refreshed now! You should come with me sometime - exercise is good for you!__eou__To be honest, I’d rather watch television! Where did you go?	I just ran alongside the main road.	I ran alongside the main road.	Oh you ought to go to the park next time. They have a route for joggers there.	0.01045426787	h
2717	just	Hmm. Not bad. I think I look younger with shorter hair.__eou__Yes, you do. The Hot Cap is back here in the corner. I think we're ready to put the curlers in. What kind of perm would you like?	I just want a light wave. I look really silly if my hair is too curly.	I want a light wave. I look really silly if my hair is too curly.	All right. What if we leave your bangs straight and just perm the sides and back?	0.01031345776	h
4722	just	Are you alright, Ethan? You don't seem to be as cheerful as you normally are.	To be honest, Ava, I've just had a really bad day.	To be honest, Ava, I've had a really bad day.	What happened?	0.01020442507	h
5	not	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.06748520601	h
7	not	Can you manage chopsticks?	Why not? See.	Why? See.	Good mastery. How do you like our Chinese food?	0.2179203926	h
15	not	Is everything to your satisfaction?	No, the steak was recommended, but it is not very fresh.	No, the steak was recommended, but it is very fresh.	Oh! Sorry to hear that. This is quite unusual as we have steak from the market every day.	0.2012204633	h
71	not	Is Tom in?__eou__Wrong number.__eou__Isn't this Li's residence?	No, it is not.	No, it is.	Oh, I'm sorry.	0.09614297088	h
81	not	I'm trying to reach Robert please.	Robert is not available at the moment.	Robert is available at the moment.	What time should I call back?	0.2594282479	h
226	not	Do you have any plan to buy a house in this city?__eou__Absolutely we need a house here. But what makes me upset is the prices in this city.	Our monthly salary can not buy one square meter of the house here.	Our monthly salary can buy one square meter of the house here.	It is depressing to hear the price goes higher and higher.	0.04856909888	h
244	not	I would like to buy a black suit.__eou__Do you have any special brand in your mind?__eou__No, I never wear suit in my everyday life. I just want one to take part in my sister’s wedding ceremony.	I see. Have a look at this one. It’s very cheap because it’s not very durable.	I see. Have a look at this one. It’s very cheap because it’s very durable.	but it looks good. Let me try it on.	0.04551926966	h
272	not	Where's the nearest tailor's?__eou__There is one just around the corner.__eou__The jacket is tight in the shoulders and long in the sleeve. What about the price there?	The price is moderate, but their work is sometimes not satisfactory.	The price is moderate, but their work is sometimes satisfactory.	Is there a better tailor's around here?	0.08475565718	h
302	not	Would you like to have some icecream? I've got a variety of flavors for you to choose from. I've got strawberry, peach, chocolate, coffee, vanilla and praline.__eou__Wow! So many choices you have! I wish I could, but I just can't. I'm on a diet to lose weight.__eou__Come on, just a bite. It doesn't really hurt to have just a bite.	I'd better not. Please don't tempt me. Please!	I'd better. Please don't tempt me. Please!	Gee! You are really strong-willed.	0.07859451999	h
309	not	Would you like a piece of birthday cake?__eou__No, thanks, I'll pass. It looks very tempting though.__eou__I thought strawberry cake with cream cheese frosting was your favorite?	It is. I'm on a diet and strawberry cream cheese cake is not on it.	It is. I'm on a diet and strawberry cream cheese cake is on it.	A diet? What for? You are in great shape.	0.05073066452	h
319	not	Did you ever buy food from the snack stands near our hotel?__eou__Yes, several times.__eou__How do you like them?	Not bad.	Bad.	I always have the temptation to eat something there.	0.1614676084	h
367	not	Would you like to see our new shirts?	Sorry, but I'm not really that interested in those things.	Sorry, but I'm really that interested in those things.	Well, they are very nice you know.	0.2622531466	h
379	not	What can I do for you?__eou__I'd like to buy a keepsake for my girlfriend. Could you make a recommendation for me?__eou__I'd like to. How do you like the hat?	It's not special. It can be seen everywhere.	It's special. It can be seen everywhere.	How about the umbrella? It's made of wood and paper. It's very beautiful.	0.01098277819	h
383	not	I need some flowers for my girlfriend.__eou__No problem. Would you like some artificial carnations?	Oh, no. Carnations are not very elegant. Artificial flowers have no passion.	Oh, no. Carnations are very elegant. Artificial flowers have no passion.	How much did you want to spend?	-0.01438720536	h
460	not	What can I help you with today?__eou__My washing machine isn't working.__eou__What's the problem?	The water will not drain.	The water will drain.	Is there anything else wrong with it?	0.1310940435	h
686	not	Would you like to have a piece of cake?__eou__No, thank you. I'm on a diet.	Why? You're not fat.	Why? You're fat.	I'm considering entering for the beauty contest this summer, so I must have a slender figure.	0.1453006462	h
698	not	What is your favorite coffee?	Irish coffee is my favorite. But I'm not particular on it.	Irish coffee is my favorite. But I'm particular on it.	All right. Would you make coffee yourself when you are at home?	0.1060156914	h
702	not	Good coming, sir.__eou__Good morning.__eou__Would you mind moving to the middle of the bus?	Of course not. But I don't know when to get off.	Of course. But I don't know when to get off.	Where are you going?	0.02039335759	h
729	not	Can I help you?	Yes, my brakes are not working well.	Yes, my brakes are working well.	What's wrong with them?	0.2971389928	h
768	not	Taxi!__eou__Where will you go, sir?__eou__Friendship Hotel.	OK, it's not far from here.	OK, it's far from here.	I have something important to do, can you fast the speed?	0.0853680608	h
865	not	Do you take vitamin pills regularly?__eou__No, I don't, do you?	Yes. Maybe you should do it too. You may not get enough vitamins from your food, you know.	Yes. Maybe you should do it too. You may get enough vitamins from your food, you know.	But, I don't believe in taking pills to get enough vitamins.	0.1323532894	h
949	not	What can I do for you?__eou__Do you have any blue shirts?__eou__Yes. What's your size?	I'm not familiar with American size.	I'm familiar with American size.	All right. Let me see. I think you'd wear a size 8. This shirt is size 8.	0.1288590894	h
969	not	Do you think I should join the basketball team, Mary?	Why not? If I were you, I certainly would.	Why? If I were you, I certainly would.	But I'm afraid it'll take up too much of my time.	0.1591733131	h
1154	not	Did you order the cake?__eou__Oh, I forgot.	Get on the phone right now. It might not be too late.	Get on the phone right now. It might be too late.	I’m so sorry! OK, so you just want a simple message on it.	0.01417407684	h
1570	not	Steven, it's ten o'clock. I'm going to bed. I'm beat.__eou__Okay. I'm going to stay up a while. I've got to go over the household budget. We've sightly overspent this month.__eou__Oh, can't you do it tomorrow? It's already past 10.	But I'm not sleepy, darling. I want to finish it today.	But I'm sleepy, darling. I want to finish it today.	Okay. Please close the door to the basement before you go to bed. I don't want the dog down there tonight.	0.06082722461	h
1602	not	How is your house hunting going?	Not very well. I haven’t found anything within my price range yet.	Very well. I haven’t found anything within my price range yet.	How much are you looking to spend?	0.1576322296	h
1647	not	It's especially cold when the wind is blowing.__eou__Why don't you wear a scarf?__eou__What can wearing one do for me?	You're cold because the wind is blowing into your open collar. It's not because your jacket isn't thick enough.	You're cold because the wind is blowing into your open collar. It's because your jacket isn't thick enough.	So wearing a scarf helps your body to stay warm inside your jacket.	0.04905243523	h
1686	not	Do you like shopping at flea markets?__eou__l love it. There is always something fascinating to discover.__eou__The antiques market here in Paris is very famous. It's called Le marche aux puces de Saint-Ouen.	That's not very easy to say.	That's very easy to say.	It's also known as Les Puces, which means ‘ The Fleas'.	0.04325423856	h
1697	not	I'll try one of these on. ( The customer tries one of the shoes on. ) It's too big. It slides up and down my heel when I walk around.__eou__Well, let's try a size ten. ( He gets another pair and the customer tries a shoe on. ) Looks like a perfect fit.	Not really. It pinches my toes.	Really. It pinches my toes.	I'm sure they'll be fine once you break them in.	0.0920068152	h
1700	not	Excuse me.__eou__Yes?__eou__How do I get to the Olympic Stadium, please?	It’s not far. Go straight on then turn right at the end of the road.	It’s far. Go straight on then turn right at the end of the road.	Thanks.	0.1461922612	h
