	id	word	word sense	context	w_word	wo_word	followup
10	3085	simply		So can you fix it?	I’m sorry sir. This computer is not broken or damaged. It’s simply just too old! That’s why your programs and applications are running slow. There really isn’t much I can do.	I’m sorry sir. This computer is not broken or damaged. It’s just too old! That’s why your programs and applications are running slow. There really isn’t much I can do.	What do you mean? I bought this computer just three years ago!
11	3311	simply		Mon and I got in another fight, Boris.__eou__oh, Iris! what was it about this time?	it was over food. I simply wanted some fried chicken but she said no.	it was over food. I wanted some fried chicken but she said no.	I believe she was right. You must know that fried foods contain a lot of fat.
12	4139	simply		how was your education going on in Australia?__eou__I'm going to graduate this summer.__eou__where are you going to work then, in Australia or back in China?__eou__I'm planning to return to China after graduation.__eou__why are you choosing to leave a foreign country? Many people are reluctant to leave the superior living environment abroad.	well, I think personal development is much more important than simply having a superior living environment.	well, I think personal development is much more important than having a superior living environment.	yeah, China's developing so fast and development opportunities can be found almost in every corner of the country.
13	4144	simply		I'm going to work in a multi-national enterprise after graduation.__eou__but you said your dream was to be an entrepreneur, to be your own boss.__eou__I'll do it someday. But it's not the right time now. I have to learn a lot by working as an employee.__eou__it sounds like you've got a perfect plan.__eou__you could say so. I'll work hard in that company and try to understand as much as possible about how to run an enterprise.	it can save you lots of time and effort to simply copy a successful business model.	it can save you lots of time and effort to copy a successful business model.	yeah, the success stories of that company might be useful for me. And their customers may become the potential ones for my own company.
14	4160	simply			Alright everyone settle down. Let’s get started.As you know, an important aspect of becoming a good citizen is understanding the genesis of our legal system. It is not enough to simply memorize our laws, it is necessary that we comprehend why and how they were formed. This brings me to our topic for today. Does anyone know what we celebrate on May first?	Alright everyone settle down. Let’s get started.As you know, an important aspect of becoming a good citizen is understanding the genesis of our legal system. It is not enough to memorize our laws, it is necessary that we comprehend why and how they were formed. This brings me to our topic for today. Does anyone know what we celebrate on May first?	Cinct de mayo?
15	4205	simply		Bob, put on your shoes, your feet are really smelly.__eou__No foot gives out scent.__eou__But don't forget you are in a cafe.__eou__Never mind, the odour of my feet will quicken their eating speed.	I simply can't bear your barbaric behavior.	I can't bear your barbaric behavior.	Don’t pretend you are a good God.
16	4211	simply		Oh!__eou__What fools we were!__eou__To think of it! All my old silver! It meant so much to me.	And my new car. To think that he simply drove off with everything in my car. That's what hurts me most.	And my new car. To think that he drove off with everything in my car. That's what hurts me most.	What's so terrible too, is the fools we've made of ourselves.
17	4273	simply			I simply couldn’t help giving him the fish-eye when I knew all that.	I couldn’t help giving him the fish-eye when I knew all that.	But Ben is not a bad man. I know him from A to Z.
18	4332	simply			I give up! I simply can't learn French!	I give up! I can't learn French!	Why do you say that? I think you're making a lot of progress.
19	4428	simply		My son is alway complaining that I dump on him. He was very rude and told me to mind my own business. I cannot put up with that.__eou__What does his dad say?	John is a peacemaker. He simply doesn’t bother. He says he should give him a free hand.	John is a peacemaker. He doesn’t bother. He says he should give him a free hand.	
20	4439	simply			I give up! I simply can't learn French!	I give up! I can't learn French!	Why do you say that? I think you're making a lot of progress.
21	4625	simply		Did you go to the bank to withdraw money?__eou__Today is so hot, besides I had so much housework to do. My friend came for a visit and stayed for two hours. I didn’t forget, but I had no time at all.__eou__So you didn’t. Is that right?__eou__Yes. I’m sorry.	Why didn’t you just answer my question directly? Why would Chinese answer questions this way? I simply asked if you did it or not. It’s a very simple question. And Chinese often give the reason before they would give a direct answer.	Why didn’t you just answer my question directly? Why would Chinese answer questions this way? I asked if you did it or not. It’s a very simple question. And Chinese often give the reason before they would give a direct answer.	Yes, I’m sorry. I know it bothers you very much. But I don’t know why Chinese sometimes would do this.
22	4764	simply		hey, Tom, did you enjoy your lunch?__eou__oh, don't mention it. It was terrible.__eou__what' the matter?__eou__the food station was as crowded as usual. I waited for 20 minutes for my sandwich, and when I finally got it the chicken was underdone.	I see. You simply can't blame the server for this.	I see. You can't blame the server for this.	yes, I know. Fast food is so popular in this district.
23	4789	simply		Hi dude, you look upset, what's up?__eou__haven't been sleeping well recently.__eou__what's the problem?__eou__every night my roommates watch the Korean soap operas till mid-night. I am not a big fan of Korean shows and I don't know how to tell them to stop without hurting their feelings.	well, you can simply tell them you want to sleep, or make an arrangement for a time when the room should quiet down.	well, you can tell them you want to sleep, or make an arrangement for a time when the room should quiet down.	yeah, I know, but I find these sorts of things hard to say. They won't like it if I tell them to turn off the TV. Now I just hope the show will end soon.
24	5326	simply		Did you watch the old-fashioned wrestling game last night?__eou__Yes, of course. And I'm amazed the those karate and judo boys were so helpless before the wrestlers.	You bet. The wrestlers had got sound defences and they simply couldn't make it.	You bet. The wrestlers had got sound defences and they couldn't make it.	
25	5593	simply		What's the time now?__eou__Sorry, I don't know, there's something wrong with my watch.	You've simply forgotten to wind it up, have you? When do you usually wind it up?	You've forgotten to wind it up, have you? When do you usually wind it up?	In the coming, before going to work.
26	5607	simply		Have you seen this?__eou__What?__eou__They killed another hostage.__eou__Oh, how awful. What a terrible thing to do.__eou__I agree completely. I just don't understand what's wrong with them. Don't they have any humanity?__eou__Well, maybe they've got a point. I mean, I suspect that they think the same about us.__eou__Yes, but that doesn't make them right, does it? Just because they think so?__eou__I guess not. My view is that we should give in to their demands, so that innocent people can stop getting killed.__eou__Come on, you can't be serious! We should never give in to terrorist's demands, otherwise where would we be?__eou__Well, that's probably true, but I don't think we should be dogmatic about it. A colleague of mine was kidnapped once, so perhaps I have a different view of things.__eou__Really? What happened?	Well, it was in the Balkans during the war. He was only held for three days, and then they simply released him. It was a case of mistaken identity, and they just let him go when they found out he was no use to them. It was lucky they didn't kill him.	Well, it was in the Balkans during the war. He was only held for three days, and then they released him. It was a case of mistaken identity, and they just let him go when they found out he was no use to them. It was lucky they didn't kill him.	Oh, sure.
27	5652	simply		How is your new car?__eou__Perfect. Couldn't be better.__eou__Why do you say so? Can I see your new car?__eou__Of course you can. ( Lead Carl to his garage. )__eou__Wow, this new car is dynamite! It is a shiny, beautiful car.	My car is simply a daisy. It drives smoothly.	My car is a daisy. It drives smoothly.	The car has very sleek lines. I love it.
28	6128	simply		What are you doing there with your mobile phone?__eou__I'm moblogging!__eou__Moblogging? what does that mean?__eou__Oh, moblogging is a combination of the word' mobile' and' blogging'. It's another form of blogging. Users can publish blog entries to the web from a mobile phone or other mobile devices.__eou__Sounds interesting! That must be very convenient.__eou__Yes, you're right. I can blog wherever and whenever I'm on the move. It's especially good when I'm on a business trip and my laptop happens to be away from me.__eou__How can you do that?	Well, if I simply want to write a few words, I'll send it by email or edit it all from the cell phone browser.	Well, if I want to write a few words, I'll send it by email or edit it all from the cell phone browser.	What if you want to publish some photos?
29	6157	simply		Are you a blogger?__eou__Sure I am. I've been writing a blog for almost three years.__eou__Oh, it seems that I'm the only one who never blogs. When did you get started?__eou__I began blogging when I first went to the US for my graduate strides.__eou__What do you usually write about?__eou__At first, I'll write about my life there. Like interesting things on the campus, travel stories, special English words that I come across. Sometimes, I'll post my pictures on my blog so my friends and family can get to know how everything's going.__eou__That's interesting. How often do you write a blog?__eou__It's random. If there happen to be a lot of things going on, I may add several new entries in a week, and if I've got nothing to share, I may leave my blog untouched for weeks.__eou__Got it. Are you still updating your blog?	Sure, since I came back from the US, I've been keeping the habit of blogging, simply to share my personal insights on any topic I like.	Sure, since I came back from the US, I've been keeping the habit of blogging, to share my personal insights on any topic I like.	Good for you. I know many people just leave their blogs alone after the first few months.
30	6347	simply			Now I know why I split up with Mike. We found we were simply not good for each other.	Now I know why I split up with Mike. We found we were not good for each other.	In what ways?
31	6587	simply		My son is alway complaining that I dump on him. He was very rude and told me to mind my own business. I cannot put up with that.__eou__What does his dad say?	John is a peacemaker.He simply doesn’t bother.He says he should give him a free hand.	John is a peacemaker.He doesn’t bother.He says he should give him a free hand.	
32	6683	simply		If you can choose, will you marry a foreigner or a Chinese?__eou__Why? Did tom pop the question?__eou__Not yet. But I wonder if I can get my parents’consent.__eou__Let me guess, your parents want you to marry a Chinese man, right?__eou__You are right. It is giving me a real headache. I feel like I’m between a rock and a hard place.__eou__I used to have the same problem when I was with my ex.__eou__Oh, how did you deal with it?__eou__I just let it go and continued dating with my Korean boyfriend. But finally we broke up.__eou__Oh, it’s a pity. What was the matter?__eou__Simple. We had personality clashes and there were too many cultural differences.__eou__Like what?__eou__He hoped to live in the Korean way and asked me to give up working and stay at home to take care of the family.__eou__Oh, I see. In their culture women should put family first.	Yes, he said it would be better for me and for the whole family. But I simply can not quit working.	Yes, he said it would be better for me and for the whole family. But I can not quit working.	So that's why it’s hard to have a happy marriage with a foreigner.
33	6851	simply		It was really hard for our parents to save money when they were young.__eou__Most people were living form hand to mouth. How could they?	Yeah. They simply had no extra money to save up or for other things.	Yeah. They had no extra money to save up or for other things.	Fortunately, things are changing these years.
34	7041	simply		What do you plan to do on Sunday morning?__eou__Nothing special.__eou__How about going to English corner with me?__eou__Oh, I'd rather not.__eou__Why not?__eou__You know, I am poor at English, especially spoken English.	That's why you should go there, If you don't dare to speak English owing to the fact that you are afraid of making mistakes, you simply will never learn English.	That's why you should go there, If you don't dare to speak English owing to the fact that you are afraid of making mistakes, you will never learn English.	
35	7364	simply		What kinds of Tv programs do you enjoy watching?__eou__I like current affairs programs and documentaries, especially wildlife ones. How about you?__eou__I like those kinds of programs too. They’re very informative. I think that many people underrate the education value of Tv.__eou__I agree. People often criticize Tv for showing too much sex and violence.__eou__Yeah. And that’s so funny because most people prefer watching sex and violence to watching something more educational!__eou__Right. You can’t blame the tv stations for showing popular kinds of programs. They need to make money from advertisements shown during and between programs.__eou__In my country, there’s a time limit on the advertisements that can be shown. I think it’s about six minutes per hour.__eou__That’s great idea. But don’t the Tv station lose a lot of money because of that?	No. they don’t. they simply charge higher prices at peak times. Is there no limit on the amount of advertisements that can be shown on Tv in your country?	No. they don’t. they charge higher prices at peak times. Is there no limit on the amount of advertisements that can be shown on Tv in your country?	Not as far as I know. We have so many advertisements. the interruptions are unbearable sometimes! That’s one reason that many people prefer satellite or cable Tv, where you pay a fixed amount each month.
36	7457	simply		Do you think I still fashionable in this dress?__eou__I think so. Blue is still very fashionable at the moment.__eou__This style came out last year, though. I like the dress, but I’m not sure whether last year’s fashions will be same this year.__eou__I think this kind of dress will stay in fashion for a few more years. People don’t change fashions every year. It would be too expensive.__eou__Yes. Only the top designer try to tell people to change fashion every year, but only rich people can do it.__eou__There are some real fashion victims who just have to keep totally up-to-date with expensive clothes.	I wish I could be one of those people, but my budget simply doesn’t stretch that far. I have to limit the amount of money I spend on clothes otherwise I would go on a shopping frenzy.	I wish I could be one of those people, but my budget doesn’t stretch that far. I have to limit the amount of money I spend on clothes otherwise I would go on a shopping frenzy.	I know what you mean. The situation will be worse if we marry our boyfriends and have children. The we’ll have even less money to spend on fashionable clothes!
37	7627	simply			Alright everyone settle down. Let’s get started.As you know, an important aspect of becoming a good citizen is understanding the genesis of our legal system. It is not enough to simply memorize our laws, it is necessary that we comprehend why and how they were formed. This brings me to our topic for today. Does anyone know what we celebrate on May first?	Alright everyone settle down. Let’s get started.As you know, an important aspect of becoming a good citizen is understanding the genesis of our legal system. It is not enough to memorize our laws, it is necessary that we comprehend why and how they were formed. This brings me to our topic for today. Does anyone know what we celebrate on May first?	Cinct de mayo?
38	7764	simply		I think we should accept his plan.__eou__I'm afraid I can't agree with you.__eou__Why?	Simply because it's not practical at all.	Because it's not practical at all.	
39	7782	simply			He's honest, hardworking and responsible. I simply can't find any shortcoming of his as an employee.	He's honest, hardworking and responsible. I can't find any shortcoming of his as an employee.	I rather doubt it.You' re cheated by his appearance, I think.
40	7993	simply		How was your education going on in Australia?__eou__I'm going to graduate this summer.__eou__Where are you going to work then, in Australia or back in China?__eou__I'm planning to return to China after graduation.__eou__Why are you choosing to leave a foreign country? Many people are reluctant to leave the superior living environment abroad.	Well, I think personal development is much more important than simply having a superior living environment.	Well, I think personal development is much more important than having a superior living environment.	Yeah, China's developing so fast and development opportunities can be found almost in every corner of the country.
41	8080	simply		Did you sign up for the picnic party?__eou__Yes, of course. I love the picnic party. It’s really family fun time.__eou__This time you can bring your daughter with you.	Right, she is so excited and simply can’t wait.	Right, she is so excited and can’t wait.	There are times of games planned, should have a grand time.
42	8447	simply		Elaine’s back from school. I think it might be a nice gesture if you asked her out. I suppose she’s not good enough for you, is that it?__eou__Look, Elaine Robinson and I do not get along.__eou__How do you know? You haven’t seen her since high school. I guess your evenings, whatever you do with them, are just too valuable.__eou__That has nothing to do with it ...__eou__I guess I’ll just have to tell Mr. Robinson that you’re too busy every evening – doing God knows what ... God don’t go on like this. If you absolutely refuse to take her out ...__eou__I do.	Then I will simply have to invite all the Robinson’s over for dinner on Thursday.	Then I will have to invite all the Robinson’s over for dinner on Thursday.	
43	8494	simply		what kinds of tv programmes do you enjoy watching?__eou__I like current affairs programmes and documentaries, especially wildlife ones. How about you?__eou__I like those kinds of programmes too. They’re very informative. I think that many people underrate the education value of tv.__eou__I agree. People often criticize tv for showing too much sex and violence.__eou__yeah. And that’s so funny because most people prefer watching sex and violence to watching something more educational!__eou__right. You can’t blame the tv stations for showing popular kinds of programmes. They need to make money from advertisements shown during and between programmes.__eou__in my country, there’s a time limit on the advertisements that can be shown. I think it’s about six minutes per hour.__eou__that’s great idea. But don’t the tv station lose a lot of money because of that?	no. they don’t. they simply charge higher prices at peak times. Is there no limit on the amount of advertisements that can be shown on tv in your country?	no. they don’t. they charge higher prices at peak times. Is there no limit on the amount of advertisements that can be shown on tv in your country?	not as far as I know. We have so many advertisements. the interruptions are unbearable sometimes! That’s one reason that many people prefer satellite or cable tv, where you pay a fixed amount each mo
44	8550	simply		Welcome back movie lovers to another Premier Movie Review. My name is Richard Clarke and I am joined today by the very erudite DavidWatson.__eou__Thank you Dick. Today we are going to talk about the movie Lion King. Tell me Dave, what is your impression of this film?	Well, I think this film is simply a fable, depicting man’s eternal greed for power, and in my opinion, it’s a very fine film. Even despite the accusations of plagiarism traditional folk tales from other countries.The musical score was amazing, the animation was very well done, and the story was simply enchanting.	Well, I think this film is a fable, depicting man’s eternal greed for power, and in my opinion, it’s a very fine film. Even despite the accusations of plagiarism traditional folk tales from other countries.The musical score was amazing, the animation was very well done, and the story was enchanting.	I think otherwise. Even though the animation was technically strong, and as you say, the score and songs performed by Elton John were great, the film lacks a certain originality; it lacked heart. And I would dare to say, it was too predictable.
45	8688	simply		if you can choose, will you marry a foreigner or a Chinese?__eou__why? Did tom pop the question?__eou__not yet. But I wonder if I can get my parents’consent.__eou__let me guess, your parents want you to marry a Chinese man, right?__eou__you are right. It is giving me a real headache. I feel like I’m between a rock and a hard place.__eou__I used to have the same problem when I was with my ex.__eou__oh, how did you deal with it?__eou__I just let it go and continued dating with my Korean boyfriend. But finally we broke up.__eou__oh, it’s a pity. What was the matter?__eou__simple. We had personality clashes and there were too many cultural differences.__eou__like what?__eou__he hoped to live in the Korean way and asked me to give up working and stay at home to take care of the family.__eou__Oh, I see. In their culture women should put family first.	yes, he said it would be batter for me and for the whole family. But I simply can not quit working.	yes, he said it would be batter for me and for the whole family. But I can not quit working.	so that's why it’s hard to have a happy marriage with a foreigner.
46	8717	simply		what do you think about all the different diets people go on?__eou__I don't think dieting is good for you. It's much better to eat a balanced diet and to never get overweight to begin with!__eou__but what do you think about people who are obese? What should they do to lose weight?__eou__they need to eat healthy foods, but they also have to increase the amount of exercise they do every day. They don't have to cut out fattening foods altogether, though.__eou__so you think it's ok for people who are dieting to eat chocolate?__eou__sure, they can eat some chocolate. As long as they are exercising and eating mostly healthy foods, there's nothing wrong with having a small desert.__eou__how about drinking soda?	many people gain weight by drinking far too much soda. Soda should be a treat; there's simply no nutritional value in it whatsoever. If you want to lose weight and you can't stop drinking soda, try	many people gain weight by drinking far too much soda. Soda should be a treat; there's no nutritional value in it whatsoever. If you want to lose weight and you can't stop drinking soda, try	that's good advice. Have you ever tried taking vitamins?
47	8737	simply		are you a blogger?__eou__sure I am. I've been writing a blog for almost three years.__eou__oh, it seems that I'm the only one who never blogs. When did you get started?__eou__I began blogging when I first went to the US for my graduate strides.__eou__what do you usually write about?__eou__at first, I'll write about my life there. Like interesting things on the campus, travel stories, special English words that I come across. Sometimes, I'll post my pictures on my blog so my family an__eou__that's interesting. How often do you write a blog?__eou__it's random. If there happen to be a lot of things going on, I may add several new entries in a week, and if I've got nothing to share, I may leave my blog untouched for weeks.__eou__got it. Are you still updating your blog?	sure, since I came back from the US, I've been keeping the habit of blogging, simply to share my personal insights on any topic I like.	sure, since I came back from the US, I've been keeping the habit of blogging, to share my personal insights on any topic I like.	good for you. I know many people just leave their blogs alone after the first few months.
48	9566	simply		Do you rent cameras here?__eou__Of course. Which one do you like best?__eou__I want one that is easy to handle.	Try this one. You can get a picture by simply pressing the shutter.	Try this one. You can get a picture by pressing the shutter.	That's good. What's the fee?
49	10131	simply		Do you know that I'm checking out in about 30 minutes?__eou__Just say the word, sir.__eou__Excellent! Now, as you know, the day has barely begun.__eou__I agree. The dew is still on the grass.__eou__I want to hit a few more places in the city, but I need a place to put my luggage.__eou__We do have a storage space for your bags. There's a small charge, plus a deposit.__eou__Leave a deposit? Isn't leaving the luggage enough of a deposit?	Regrettably, no. But simply present your VISA to cover your deposit.	Regrettably, no. But present your VISA to cover your deposit.	Hmm. I'll have to think about this for a second.
50	10302	simply		Have you got the medicine yet?	Yes, I've been given so much, that I simply don't know what to do with it all.	Yes, I've been given so much, that I don't know what to do with it all.	Well, these are for internal use.You take a packet each time.Four times a day.
51	11312	simply		I see myself as being honest, diligent, persevering and creative. And I have a strong sense of responsibility.__eou__How about your psychological resilience?__eou__I think I can work well under pressure, if necessary.__eou__How would you deal with those who are not easy to get along with?__eou__I will just be sincere and friendly to others, and I believe they will treat me the same way.__eou__You seem to be a kind-hearted lady.	Thank you. I simply believe the goodness of human nature.	Thank you. I believe the goodness of human nature.	Please tell me your weaknesses if you can.
52	11320	simply		You taught at a local school for a year, right?__eou__Yes, I was there as an English teacher.__eou__Did you enjoy yourself there?__eou__Sure. I was fond of those lovely children__eou__So why did you decide to resign?	The school is a little bit too far away. I simply want to take good care of my elderly grandfather.	The school is a little bit too far away. I want to take good care of my elderly grandfather.	I see. But why don't you continue to work as a teacher?
53	11643	simply		Hey Lisa ... want to grab lunch with me?__eou__Sure, Emily. We haven't done that in a while.__eou__Yeah ... actually, we haven't hung out at all recently. You seem sort of under the weather. Is there something going on?__eou__Well, keep this under your hat, but I think I'm going to quit after New Year.__eou__Quit this company? Oh ... wow.__eou__I know I should be pretty happy here, but I'm not finding the kind of job satisfaction I need. I'm a good graphic designer ...__eou__One of the best in the company.__eou__That's kind of you to say. But ... the stuff we do here hasn't really challenged me very much at all.	Oh, I get it. Simply put, you're bored, huh?	Oh, I get it. Put, you're bored, huh?	That's one way of putting it. For me, a job needs to stimulate my brain, otherwise it becomes a daily drudgery.
54	11764	simply		Did you sign up for the picnic party?__eou__Yes, of course. I love the picnic party. It’s really family fun time.__eou__This time you can bring your daughter with you.	Right, she is so excited and simply can’t wait.	Right, she is so excited and can’t wait.	There are times of games planned, should have a grand time.
55	11957	simply		The product's selling points is its advanced technoledge.__eou__Unfortunately, it's just too expensive for majority of consumer to afford.__eou__Why is the price so high?__eou__It's not just that the price is high, it's that the overhead to update an entire computer system to be compatible is costly.__eou__Model of computers aren't compatible?	Most current computer systems simply can't handle it because this model truly has extraordinary capabilities.	Most current computer systems can't handle it because this model truly has extraordinary capabilities.	Maybe after the next generation of technology comes out, the price of this model will become more affordable.
56	12210	simply		David, I am going for an interview tomorrow. It's an American company. Can you give me an idea of what the interviewer will ask?__eou__Well. They may ask you to tell them more about your educational background and your working background.__eou__But they can see my resume. It's all in there.__eou__I know, but sometimes interviewers just want to hear you say it. Then you may be asked for your viewpoint on why you feel you are qualified for the job, give them all your qualifications and how you think they will fit the position you are applying for. Questions like what sort of experience do you have and what are your goals? are closely related to this.__eou__Ok. What else?__eou__They may want to know how the company will benefit and why they should hire you?__eou__I see. What about the salary?	Hm, they may ask you what kind of salary you have in mind, or simply tell you what the company is offering. I think the latter is more likely for a starting position, especially if you have little experience. And if they are seriously considering hiring you, they will probably want to know when you would be available to start work. And basically, that's about it.	Hm, they may ask you what kind of salary you have in mind, or tell you what the company is offering. I think the latter is more likely for a starting position, especially if you have little experience. And if they are seriously considering hiring you, they will probably want to know when you would be available to start work. And basically, that's about it.	Ok, thanks, David. You’Ve helped me a lot.
57	12458	simply		I was trying to find the class on preparing for interviews.__eou__You have found your way to the interview class. Please come in!__eou__I am so happy I found this class because I was really nervous about my upcoming interview.__eou__When we go into an interview, what do you think our first consideration should be?__eou__Our dress and grooming are probably the first thing an interviewer judges us by.__eou__Friendliness and a good attitude are also very important.__eou__Yes, and they help establish a friendly tone for the rest of the interview.__eou__The interviewers always are interested in what you ask them about their company.__eou__What else should I be thinking about?	Be yourself and be honest. Simply answer the questions put to you.	Be yourself and be honest. Answer the questions put to you.	
