pilot_row_index	source_row_index	source_file_index	id	word	_5	context	w_word	wo_word	followup	human_negative_followups	human_negative_pilot_row_indices	human_negative_source_row_indices	human_negative_count	followup_token_length	followup_final_punctuation	build_seed	human_negative_target	row_limit	prompt_with	prompt_without	next_speaker	fold_id	gold_log_prob_with	gold_log_prob_without	gold_token_count_with	gold_token_count_without	gold_delta	margin_human_with	margin_human_without	effect_delta	human_negative_log_probs_with	human_negative_log_probs_without	ablation_condition	mask_percent
10	10	26	193	not		Peter, wash your hands first, and then have some dessert.__eou__Mom, can I have some ice cream?	Not today, Honey. Don't eat too much ice cream.	Today, Honey. Don't eat too much ice cream.	Mom, can I have one more piece of cake?	"[""Could I possibly make it early in the afternoon?"",""How did it grow into such a large place?"",""Is there anything else I should pay attention to?"",""Why? Looks like you're feeling very down! What happened?"",""Ok. Let me call you later. Is that okay?""]"	[1139,715,1101,480,174]	[1139,715,1101,480,174]	5	9	?	13	5		"Speaker 1: Peter, wash your hands first, and then have some dessert.
Speaker 2: Mom, can I have some ice cream?
Speaker 1: Not today, Honey. Don't eat too much ice cream.
Speaker 2: "	"Speaker 1: Peter, wash your hands first, and then have some dessert.
Speaker 2: Mom, can I have some ice cream?
Speaker 1: Today, Honey. Don't eat too much ice cream.
Speaker 2: "	Speaker 2	1	-15.27978515625	-15.44537353515625	11	11	0.16558837890625	23.398171997070314	21.898818969726562	1.4993530273437514	[-42.708587646484375,-33.971466064453125,-27.460708618164062,-52.26171875,-36.9873046875]	[-40.457611083984375,-34.45697021484375,-24.835678100585938,-51.197265625,-35.7734375]	none	0.0
11	11	29	226	not		Do you have any plan to buy a house in this city?__eou__Absolutely we need a house here. But what makes me upset is the prices in this city.	Our monthly salary can not buy one square meter of the house here.	Our monthly salary can buy one square meter of the house here.	It is depressing to hear the price goes higher and higher.	"[""It's also known as Les Puces, which means \u2018 The Fleas'."",""Oh. I had hoped she would have called me back yesterday."",""The heroin may not be attractive. I like the story, though."",""I know that. I mean I couldn't understand her at all."",""Yes. I've been to New York. I got back only yesterday.""]"	[136,337,766,691,722]	[136,337,766,691,722]	5	11	.	13	5		"Speaker 1: Do you have any plan to buy a house in this city?
Speaker 2: Absolutely we need a house here. But what makes me upset is the prices in this city.
Speaker 1: Our monthly salary can not buy one square meter of the house here.
Speaker 2: "	"Speaker 1: Do you have any plan to buy a house in this city?
Speaker 2: Absolutely we need a house here. But what makes me upset is the prices in this city.
Speaker 1: Our monthly salary can buy one square meter of the house here.
Speaker 2: "	Speaker 2	0	-30.0426025390625	-30.819915771484375	12	12	0.777313232421875	22.289935302734378	21.22623291015625	1.0637023925781293	[-60.212188720703125,-49.51806640625,-63.81396484375,-41.382080078125,-46.73638916015625]	[-60.324432373046875,-49.4248046875,-63.294921875,-41.480712890625,-45.70587158203125]	none	0.0
12	12	31	235	not		Hello, I'm sorry for calling this late. May I speak to Peter?	I'm sorry. He's not in right now.	I'm sorry. He's in right now.	When is he coming back?	"[""When could we get together?"",""What time is it now?"",""Where will we sleep, then?"",""What is your greatest weakness?"",""Why are you feeling depressed?""]"	[460,128,1004,1046,399]	[460,128,1004,1046,399]	5	5	?	13	5		"Speaker 1: Hello, I'm sorry for calling this late. May I speak to Peter?
Speaker 2: I'm sorry. He's not in right now.
Speaker 1: "	"Speaker 1: Hello, I'm sorry for calling this late. May I speak to Peter?
Speaker 2: I'm sorry. He's in right now.
Speaker 1: "	Speaker 1	0	-8.54669189453125	-12.290283203125	6	6	3.74359130859375	14.8822021484375	10.4895751953125	4.392626953124999	[-19.77734375,-12.8974609375,-33.7373046875,-24.580078125,-26.15228271484375]	[-18.9755859375,-12.568359375,-33.2783203125,-23.6064453125,-25.4705810546875]	none	0.0
13	13	32	244	not		I would like to buy a black suit.__eou__Do you have any special brand in your mind?__eou__No, I never wear suit in my everyday life. I just want one to take part in my sister’s wedding ceremony.	I see. Have a look at this one. It’s very cheap because it’s not very durable.	I see. Have a look at this one. It’s very cheap because it’s very durable.	but it looks good. Let me try it on.	"[""Wait a second. I want to watch Ally McNeal."",""In that case, I guess I can rest assured."",""I appreciate it. It is related to company image."",""I always have the temptation to eat something there."",""I like the Brazilians. They are the real champions.""]"	[859,1047,1165,20,523]	[859,1047,1165,20,523]	5	9	.	13	5		"Speaker 1: I would like to buy a black suit.
Speaker 2: Do you have any special brand in your mind?
Speaker 1: No, I never wear suit in my everyday life. I just want one to take part in my sister’s wedding ceremony.
Speaker 2: I see. Have a look at this one. It’s very cheap because it’s not very durable.
Speaker 1: "	"Speaker 1: I would like to buy a black suit.
Speaker 2: Do you have any special brand in your mind?
Speaker 1: No, I never wear suit in my everyday life. I just want one to take part in my sister’s wedding ceremony.
Speaker 2: I see. Have a look at this one. It’s very cheap because it’s very durable.
Speaker 1: "	Speaker 1	1	-21.9718017578125	-25.5010986328125	11	11	3.529296875	22.46407775878906	17.99849853515625	4.465579223632808	[-52.849365234375,-30.710769653320312,-42.0228271484375,-45.661376953125,-50.93505859375]	[-52.489501953125,-29.81512451171875,-40.885498046875,-45.055908203125,-49.251953125]	none	0.0
14	14	33	249	not		Do you carrying fresh fish?__eou__Yes we do. Check the meat department. There is a fish counter there too.	I already looked, but did not see anything.	I already looked, but did see anything.	Let me show you.	"[""But it\u2019s so old."",""Well, check the newspaper."",""we've spent $ 1,000."",""And he's so handsome."",""I'm afraid not, sir.""]"	[719,262,122,698,183]	[719,262,122,698,183]	5	4	.	13	5		"Speaker 1: Do you carrying fresh fish?
Speaker 2: Yes we do. Check the meat department. There is a fish counter there too.
Speaker 1: I already looked, but did not see anything.
Speaker 2: "	"Speaker 1: Do you carrying fresh fish?
Speaker 2: Yes we do. Check the meat department. There is a fish counter there too.
Speaker 1: I already looked, but did see anything.
Speaker 2: "	Speaker 2	3	-9.181732177734375	-9.187057495117188	5	5	0.0053253173828125	16.186138916015626	15.162503051757813	1.0236358642578125	[-26.2275390625,-17.9677734375,-37.98974609375,-27.509765625,-17.14453125]	[-24.548828125,-17.7216796875,-37.78125,-26.4912109375,-15.204833984375]	none	0.0
15	15	37	272	not		Where's the nearest tailor's?__eou__There is one just around the corner.__eou__The jacket is tight in the shoulders and long in the sleeve. What about the price there?	The price is moderate, but their work is sometimes not satisfactory.	The price is moderate, but their work is sometimes satisfactory.	Is there a better tailor's around here?	"[""You don\u2019t like this sort of exercise?"",""Oh, that's too bad. Was it stolen?"",""What can you do when this happens?"",""Is this the right bus, or not?"",""Did he want to know the reasons?""]"	[656,564,527,324,1068]	[656,564,527,324,1068]	5	7	?	13	5		"Speaker 1: Where's the nearest tailor's?
Speaker 2: There is one just around the corner.
Speaker 1: The jacket is tight in the shoulders and long in the sleeve. What about the price there?
Speaker 2: The price is moderate, but their work is sometimes not satisfactory.
Speaker 1: "	"Speaker 1: Where's the nearest tailor's?
Speaker 2: There is one just around the corner.
Speaker 1: The jacket is tight in the shoulders and long in the sleeve. What about the price there?
Speaker 2: The price is moderate, but their work is sometimes satisfactory.
Speaker 1: "	Speaker 1	0	-15.583251953125	-16.537841796875	9	9	0.95458984375	16.187774658203125	15.611181640624999	0.5765930175781264	[-39.491241455078125,-31.320556640625,-19.3763427734375,-34.0947265625,-34.572265625]	[-38.99267578125,-31.863525390625,-21.588134765625,-33.70703125,-34.59375]	none	0.0
16	16	38	279	not		Can I also take the MET to get there?__eou__Yeah sure, it's much quicker. Do you know how?__eou__No, can I trouble you to lend me a hand?	Ok, not a problem. Let's go to the station.	Ok, a problem. Let's go to the station.	You have to buy a ticket first. You want to go to Shi Da, right?	"[""Can you give us any other safety tips for people pursuing relationships on the Net?"",""Is the restaurant on the right or on the left hand side of the road?"",""Sorry, sir. That table has been reserved. This way, please. How about this one, sir?"",""If you were to take on a double major, what would be your first choice?"",""Well, we are so tired today. Can you tell me which bus I should take?""]"	[519,48,32,340,973]	[519,48,32,340,973]	5	15	?	13	5		"Speaker 1: Can I also take the MET to get there?
Speaker 2: Yeah sure, it's much quicker. Do you know how?
Speaker 1: No, can I trouble you to lend me a hand?
Speaker 2: Ok, not a problem. Let's go to the station.
Speaker 1: "	"Speaker 1: Can I also take the MET to get there?
Speaker 2: Yeah sure, it's much quicker. Do you know how?
Speaker 1: No, can I trouble you to lend me a hand?
Speaker 2: Ok, a problem. Let's go to the station.
Speaker 1: "	Speaker 1	3	-45.2078857421875	-45.2537841796875	18	18	0.0458984375	6.667292022705077	6.906496429443358	-0.23920440673828125	[-71.440185546875,-32.31387710571289,-58.24462890625,-50.0560302734375,-47.3211669921875]	[-72.4052734375,-32.4426383972168,-57.7501220703125,-50.6329345703125,-47.5704345703125]	none	0.0
17	17	39	288	not		Are you going grocery shopping today?__eou__I am, as a matter of fact. Do you have any special requests?	Yes, please get some white bread, thick cut, some ham, not the processed stuff, some gouda cheese, some galla apples and...	Yes, please get some white bread, thick cut, some ham, the processed stuff, some gouda cheese, some galla apples and...	Wait. This is sounding like a major list. Why don't you just come with me?	"[""You have to buy a ticket first. You want to go to Shi Da, right?"",""Which financial magazines and newspapers do you think do the best job of checking facts?"",""Well, we are so tired today. Can you tell me which bus I should take?"",""but don't you think it annoying to overcharge the customers by such a handsome margin?"",""would you like to look at the new digital camcorders that have just come in?""]"	[16,543,973,278,898]	[16,543,973,278,898]	5	15	?	13	5		"Speaker 1: Are you going grocery shopping today?
Speaker 2: I am, as a matter of fact. Do you have any special requests?
Speaker 1: Yes, please get some white bread, thick cut, some ham, not the processed stuff, some gouda cheese, some galla apples and...
Speaker 2: "	"Speaker 1: Are you going grocery shopping today?
Speaker 2: I am, as a matter of fact. Do you have any special requests?
Speaker 1: Yes, please get some white bread, thick cut, some ham, the processed stuff, some gouda cheese, some galla apples and...
Speaker 2: "	Speaker 2	4	-39.35906982421875	-40.794158935546875	19	19	1.435089111328125	24.404013061523436	22.750143432617186	1.65386962890625	[-63.7158203125,-61.43052673339844,-60.4979248046875,-79.699951171875,-53.47119140625]	[-63.568359375,-60.99946594238281,-61.5615234375,-78.295654296875,-53.2965087890625]	none	0.0
18	18	46	302	not		Would you like to have some icecream? I've got a variety of flavors for you to choose from. I've got strawberry, peach, chocolate, coffee, vanilla and praline.__eou__Wow! So many choices you have! I wish I could, but I just can't. I'm on a diet to lose weight.__eou__Come on, just a bite. It doesn't really hurt to have just a bite.	I'd better not. Please don't tempt me. Please!	I'd better. Please don't tempt me. Please!	Gee! You are really strong-willed.	"[""The internet's a lot worse."",""So they're easy to remember."",""OK, OK. On one condition."",""Yes, because of fewer people."",""Because it rained last night.""]"	[532,355,84,580,869]	[532,355,84,580,869]	5	5	.	13	5		"Speaker 1: Would you like to have some icecream? I've got a variety of flavors for you to choose from. I've got strawberry, peach, chocolate, coffee, vanilla and praline.
Speaker 2: Wow! So many choices you have! I wish I could, but I just can't. I'm on a diet to lose weight.
Speaker 1: Come on, just a bite. It doesn't really hurt to have just a bite.
Speaker 2: I'd better not. Please don't tempt me. Please!
Speaker 1: "	"Speaker 1: Would you like to have some icecream? I've got a variety of flavors for you to choose from. I've got strawberry, peach, chocolate, coffee, vanilla and praline.
Speaker 2: Wow! So many choices you have! I wish I could, but I just can't. I'm on a diet to lose weight.
Speaker 1: Come on, just a bite. It doesn't really hurt to have just a bite.
Speaker 2: I'd better. Please don't tempt me. Please!
Speaker 1: "	Speaker 1	0	-20.649803161621094	-21.056644439697266	9	9	0.4068412780761719	8.565855407714842	7.456029510498048	1.109825897216794	[-33.513671875,-29.02392578125,-18.19281005859375,-35.916015625,-29.431869506835938]	[-33.1865234375,-27.95751953125,-17.735992431640625,-35.040283203125,-28.643051147460938]	none	0.0
19	19	47	309	not		Would you like a piece of birthday cake?__eou__No, thanks, I'll pass. It looks very tempting though.__eou__I thought strawberry cake with cream cheese frosting was your favorite?	It is. I'm on a diet and strawberry cream cheese cake is not on it.	It is. I'm on a diet and strawberry cream cheese cake is on it.	A diet? What for? You are in great shape.	"[""Fortunately, there is a widely-spoken commercial language, namely English."",""Really? I heard it was supposed to be great."",""I understand. I'm interested in the Petty Consumer Loan."",""I like the Brazilians. They are the real champions."",""Well, now we should turn back a few kilometres.""]"	[1088,861,1253,523,171]	[1088,861,1253,523,171]	5	9	.	13	5		"Speaker 1: Would you like a piece of birthday cake?
Speaker 2: No, thanks, I'll pass. It looks very tempting though.
Speaker 1: I thought strawberry cake with cream cheese frosting was your favorite?
Speaker 2: It is. I'm on a diet and strawberry cream cheese cake is not on it.
Speaker 1: "	"Speaker 1: Would you like a piece of birthday cake?
Speaker 2: No, thanks, I'll pass. It looks very tempting though.
Speaker 1: I thought strawberry cake with cream cheese frosting was your favorite?
Speaker 2: It is. I'm on a diet and strawberry cream cheese cake is on it.
Speaker 1: "	Speaker 1	2	-22.87584686279297	-21.68157196044922	12	12	-1.19427490234375	26.296120452880857	27.393383026123047	-1.0972625732421903	[-58.8182373046875,-28.21628189086914,-60.1259765625,-44.814453125,-53.8848876953125]	[-58.31982421875,-27.992816925048828,-60.7772216796875,-44.90234375,-53.382568359375]	none	0.0
20	20	50	319	not		Did you ever buy food from the snack stands near our hotel?__eou__Yes, several times.__eou__How do you like them?	Not bad.	Bad.	I always have the temptation to eat something there.	"[""Yeah, I\u2019ll try not to! See you after Christmas."",""Maybe you're right. I have been too lazy lately."",""Fortunately, there is a widely-spoken commercial language, namely English."",""don't worry. I'm not much of a dancer myself."",""Well, I won\u2019t put a crime into their doings.""]"	[958,341,1088,905,172]	[958,341,1088,905,172]	5	9	.	13	5		"Speaker 1: Did you ever buy food from the snack stands near our hotel?
Speaker 2: Yes, several times.
Speaker 1: How do you like them?
Speaker 2: Not bad.
Speaker 1: "	"Speaker 1: Did you ever buy food from the snack stands near our hotel?
Speaker 2: Yes, several times.
Speaker 1: How do you like them?
Speaker 2: Bad.
Speaker 1: "	Speaker 1	2	-31.6934814453125	-32.83642578125	10	10	1.1429443359375	18.028057861328122	15.335748291015626	2.6923095703124957	[-55.218017578125,-41.03955078125,-53.7393798828125,-46.366790771484375,-52.24395751953125]	[-50.043182373046875,-39.14306640625,-53.39501953125,-45.84552001953125,-52.43408203125]	none	0.0
21	21	51	320	not		It is my first time coming to China. I want to buy something unique of China to my friends as gifts.__eou__We have a great variety of Chinese antiques and porcelain. Do you like them?	Yes, I love them, but they are fragile. It is not convenient to take them.	Yes, I love them, but they are fragile. It is convenient to take them.	You are right. How about paintings and embroidered handkerchiefs?	"[""Have you been on the bus for a while?"",""Are you more of a leader or a follower?"",""Oh, hey, did you look in the classified ads?"",""How did it grow into such a large place?"",""Good mastery. How do you like our Chinese food?""]"	[326,1069,666,892,2]	[326,1069,666,892,2]	5	9	?	13	5		"Speaker 1: It is my first time coming to China. I want to buy something unique of China to my friends as gifts.
Speaker 2: We have a great variety of Chinese antiques and porcelain. Do you like them?
Speaker 1: Yes, I love them, but they are fragile. It is not convenient to take them.
Speaker 2: "	"Speaker 1: It is my first time coming to China. I want to buy something unique of China to my friends as gifts.
Speaker 2: We have a great variety of Chinese antiques and porcelain. Do you like them?
Speaker 1: Yes, I love them, but they are fragile. It is convenient to take them.
Speaker 2: "	Speaker 2	4	-29.363677978515625	-29.71923828125	14	14	0.355560302734375	8.975244140625001	8.268890380859375	0.7063537597656264	[-30.50872802734375,-32.53839111328125,-46.2244873046875,-40.7154541015625,-41.707550048828125]	[-29.72216796875,-31.9842529296875,-45.83673095703125,-40.72802734375,-41.669464111328125]	none	0.0
