id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context
876	only	I like Chinese food.__eou__I like Chinese food, too. I like dumplings best.__eou__At school, we sometimes have Chinese food for lunch.	That's good. We eat Chinese food only at the Chinese restaurant.	That's good. We eat Chinese food at the Chinese restaurant.	My mother can make some Chinese food.	-26.12120008468628	-22.86021375656128	-1.4511777824825711	-1.3447184562683105	18	17	-16.103269577026367	-16.9975643157959	-1.341939131418864	-1.4164636929829915	12	12	-118.17034387588501	-115.80487298965454	-1.6643710405054226	-1.6543553284236363	71	70	True
915	only	Steven, we are preparing a martial arts show for the New Year's party. Would you like to join us?	I'd love to! But I have never learned martial arts, and there is only a month left before the New Year.	I'd love to! But I have never learned martial arts, and there is a month left before the New Year.	That's OK. A month is enough for you to learn the basic movements. It would be great to have you with us on the show.	-40.60039520263672	-44.06337356567383	-1.4000136276771282	-1.5736919130597795	29	28	-39.49045181274414	-40.08741569519043	-1.1966803579619436	-1.214770172581528	33	33	-167.18075942993164	-171.27717399597168	-1.878435499212715	-1.9463315226814963	89	88	True
951	only	Have you got any outdoor interests?	Yes. My only recreation is skateboarding.	Yes. My recreation is skateboarding.	Oh, I know it. It is included in extreme sports. I think it's too dangerous for me.	-32.14881896972656	-25.942337036132812	-2.472986074594351	-2.1618614196777344	13	12	-57.752387046813965	-56.83439922332764	-2.221245655646691	-2.1859384316664476	26	26	-134.32399082183838	-127.20095539093018	-2.6864798164367674	-2.595937865121024	50	49	True
965	only	Excuse me, where is the Beijing Railway Station?__eou__You can take the subway to get there.__eou__How long will it take to get there?	It takes only ten minutes.	It takes ten minutes.	May I take a bus or a taxi to get there?	-9.801717758178711	-9.386281967163086	-0.9801717758178711	-1.0429202185736761	10	9	-22.720288276672363	-22.636435508728027	-1.4200180172920227	-1.4147772192955017	16	16	-100.01196908950806	-99.56417655944824	-1.4927159565598218	-1.5085481296886096	67	66	True
966	only	Excuse me, can you tell me where Main Street is?__eou__Turn left at the second light and then go straight for two blocks.__eou__Is it far?	No. It's only a five-minute walk. You can't miss it.	No. It's a five-minute walk. You can't miss it.	Thanks a lot.	-17.496782779693604	-17.55059242248535	-0.8748391389846801	-0.9237153906571237	20	19	-5.845205307006836	-5.915082931518555	-0.7306506633758545	-0.7393853664398193	8	8	-94.32891607284546	-94.45065069198608	-1.3285762827161332	-1.3492950098855154	71	70	True
987	only	Where do these flower vases come from?__eou__They are made a town nearby. The flower vases are made of porcelain and covered with tiny bamboo sticks.__eou__Are they breakable?	No. They are not only ornamental, but also useful.	No. They are not ornamental, but also useful.	No wonder it's so expensive.	-23.12381649017334	-29.588991165161133	-1.3602244994219612	-1.8493119478225708	17	16	-20.86937141418457	-20.742029190063477	-1.8972155831076882	-1.8856390172784978	11	11	-172.74616861343384	-179.05167245864868	-2.27297590280834	-2.3873556327819823	76	75	True
1010	only	In 1986, a New Zealander Hackett popularized Bungee as a commercialized sport of mass entertainment. This sport is very challenging. It is a test of people's psychological ability of endurance. Especially when descending, as if they are watching a fast forward tape and when they bounce back, they sway around. The timid people will shrink back at the sight of it. Even if they jump off, they find it hard to avoid screaming with closed eyes. No wonder people give the title' brave' to anyone who jumps off.__eou__You see, the bungee participants take a deep breath when they stand at the starting spot and then, like diving, their heads are over heels and they jump off into the realm of the combination of heaven and earth. The wind roars at their ears and their bodies rapidly descend. They do not even have enough time to do several gymnastic movements and they are rebounded to the upper air by the cord.__eou__Entrusting life to the care of a rope indeed requires infinite courage.	"A young French fellow recalled his first bungee experience and said, "" When I fastened the cord and walked to the platform, I was extremely nervous. When I looked down, I was nervous even more. If the cord had broken, I would be knocked to' bakemeat'. However, I knew my worries were unwanted. I was afraid if I retreated others might say something about me. I had to harden my heart and impose my head downward. I only felt wind wiring at my ears. My body rapidly descended. I thought that after only seven or eight seconds I was rebounded to upper air by the cord. In fact it was 30 seconds. Maybe because of my nervousness, I only felt seven or eight seconds. When rebounding to the high altitude, I felt a sudden sense of relief. I did not feel nervous very much, but very comfortable. """	"A young French fellow recalled his first bungee experience and said, "" When I fastened the cord and walked to the platform, I was extremely nervous. When I looked down, I was nervous even more. If the cord had broken, I would be knocked to' bakemeat'. However, I knew my worries were unwanted. I was afraid if I retreated others might say something about me. I had to harden my heart and impose my head downward. I felt wind wiring at my ears. My body rapidly descended. I thought that after seven or eight seconds I was rebounded to upper air by the cord. In fact it was 30 seconds. Maybe because of my nervousness, I felt seven or eight seconds. When rebounding to the high altitude, I felt a sudden sense of relief. I did not feel nervous very much, but very comfortable. """	It is hard to come by in life that you experience this kind of' comfortable'	-476.94325160980225	-479.0722875595093	-2.592082889183708	-2.6468082185608246	184	181	-48.348995208740234	-48.240519523620605	-2.302333105178106	-2.297167596362886	21	21	-1196.8957624435425	-1198.9163227081299	-2.8030345724673125	-2.827632836575778	427	424	True
1038	only	Can I order take-out here?	We only have spring rolls today for take-out.	We have spring rolls today for take-out.	Then could I have four orders, please?	-28.235116958618164	-29.422304153442383	-2.016794068472726	-2.263254165649414	14	13	-25.631003379821777	-24.554466247558594	-1.9716156446016753	-1.8888050959660456	13	13	-96.74256229400635	-96.81476783752441	-2.5458569024738513	-2.616615346960119	38	37	True
1099	only	How long is the warranty?__eou__We guarantee our product for two years.__eou__How about the repairs after the warranty expire? Are you responsible for the fixing if the machine breaks down after the warranty period?	Yes. All repairs are billed at cost. We'll only bill you for parts. The on-site service is $ 300 a year after the warranty.	Yes. All repairs are billed at cost. We'll bill you for parts. The on-site service is $ 300 a year after the warranty.	Will you supply spare parts if we want them?	-87.40697574615479	-79.47545719146729	-2.497342164175851	-2.3375134468078613	35	34	-24.16455078125	-24.042577743530273	-1.7260393415178572	-1.7173269816807337	14	14	-221.0675811767578	-213.0111598968506	-2.210675811767578	-2.1516278777459656	100	99	True
1142	only	Look! Allen has the mic!	I thought he only liked to listen!	I thought he liked to listen!	That was before he heard Stanley sing! I guess he couldn't stand it any more, so he decided to give it a try himself!	-28.473041534423828	-26.678119659423828	-2.372753461201986	-2.425283605402166	12	11	-66.36106491088867	-66.4500732421875	-2.073783278465271	-2.0765647888183594	32	32	-150.06501388549805	-148.37570190429688	-2.7284547979181464	-2.747698183412905	55	54	True
1272	only	Excuse me, but can you tell me the way to the Today Mall?__eou__Yes, go down the fifth street. You won't miss it.__eou__How long will it take me to get there?	It's only about 10 minutes' walk.	It's about 10 minutes' walk.	Thank you very much.	-11.196398735046387	-8.655016899108887	-0.7997427667890277	-0.6657705307006836	14	13	-4.1035003662109375	-4.118010520935059	-0.4559444851345486	-0.45755672454833984	9	9	-115.05292415618896	-112.53240013122559	-1.534038988749186	-1.5207081098814268	75	74	True
1368	only	Excuse me. How much is the chocolate bar?__eou__One dollar.__eou__So, I can have five for five dollars?	Actually, you can only have four.	Actually, you can have four.	Oh, yeah. I forgot tax. Give me four then, please.	-14.578648567199707	-15.985386848449707	-1.2148873805999756	-1.4532169862227007	12	11	-38.32196044921875	-39.61856937408447	-2.0169452868009867	-2.0851878617939197	19	19	-125.89430379867554	-128.5627670288086	-1.8790194596817245	-1.947920712557706	67	66	True
1446	only	Excuse me. Have you got the time?__eou__My watch says half past five.__eou__Does your watch keep good time?	Oh yeah. It loses only a few seconds in the whole month.	Oh yeah. It loses a few seconds in the whole month.	Thanks a lot.	-31.06935977935791	-29.99562931060791	-1.7260755432976618	-1.764448782976936	18	17	-8.017463684082031	-7.955536842346191	-1.002182960510254	-0.9944421052932739	8	8	-102.39711856842041	-101.24937629699707	-1.65156642852291	-1.6598258409343782	62	61	True
1492	only	Now I'm sure we'll never get all our things back. They're so clever these criminals. What's the point of collecting beautiful things for other people to steal?	I only wish it were this time yesterday.	I wish it were this time yesterday.	Think how happy we were. Now this.Things always go wrong.	-34.180938720703125	-30.342071533203125	-2.629302978515625	-2.5285059611002603	13	12	-51.788326263427734	-50.82106113433838	-2.877129236857096	-2.823392285241021	18	18	-213.8622760772705	-209.01708126068115	-3.099453276482181	-3.0737806067747226	69	68	True
1493	only	Jane! What an enchanting skirt you have on!__eou__Thank you! Guess how much it costs.__eou__Bright colors, smooth material, exquisite craftsmanship, soft lines ... Darling, it looks elegant on you! It can't be any cheap stuff. Something around two hundred, I guess.	Your offer is way off the mark. It set me back only sixty-five.	Your offer is way off the mark. It set me back sixty-five.	Then you got a windfall! Was sixty-five the original price, or did you get a special discount?	-45.95547008514404	-46.05117321014404	-2.297773504257202	-2.423745958428634	20	19	-54.041144371032715	-55.30734348297119	-2.0785055527320275	-2.127205518575815	26	26	-306.61031436920166	-307.98979473114014	-2.689564161133348	-2.7255734047003553	114	113	True
1538	only	Excuse me. Would you tell me where The People's Park is?__eou__The People's Park is located on Nanjing Road, near Limbo road, just on the opposite side of the International Hotel.__eou__How long will it take me to get there?	Only about twenty minutes.	About twenty minutes.	I'm not going in the wrong direction, am I?	-12.852291107177734	-7.041316986083984	-1.4280323452419705	-0.880164623260498	9	8	-23.33690071105957	-24.036252975463867	-1.4585562944412231	-1.5022658109664917	16	16	-173.87520790100098	-168.76975059509277	-1.9758546352386475	-1.939882190748193	88	87	True
1553	only	Our housing problem is a highly complicated issue.__eou__It is true. I think we should change some policies.__eou__Right. Like our LPF program. The mortgage size is linked with the amount of savings households have accumulated on their LPF accounts.	Indeed, it's unfair. Households with higher salaries receive larger LPF contributions and thus qualify for larger loans. Lower-income households, on the other hand, can only get smaller loans, or perhaps nothing if they could not afford to purchase any housing.	Indeed, it's unfair. Households with higher salaries receive larger LPF contributions and thus qualify for larger loans. Lower-income households, on the other hand, can get smaller loans, or perhaps nothing if they could not afford to purchase any housing.	Like you and me!	-112.24147272109985	-113.95036935806274	-2.040754049474543	-2.1101920251493103	55	54	-22.053897380828857	-22.053110122680664	-2.4504330423143177	-2.4503455691867404	9	9	-323.50616550445557	-325.2244334220886	-2.608920689552061	-2.6441010847324278	124	123	True
1562	only	Did you watch the finale last night? My favorite singer won!	Oh, I love him too. He not only sings well but shows perseverance when he encounters difficulties in the contest.	Oh, I love him too. He not sings well but shows perseverance when he encounters difficulties in the contest.	Yeah, he got booted after his initial performance in the audition, but he did not give up. He then tried at another two auditions.	-68.4366512298584	-81.70737266540527	-2.5346907862910517	-3.142591256361741	27	26	-77.69734859466553	-77.28437995910645	-2.2852161351372215	-2.2730699987972485	34	34	-206.55195903778076	-219.32572746276855	-2.648102038945907	-2.8483860709450464	78	77	True
1577	only	Excuse me, can you tell me where central Park Street is?__eou__Turn right at the third light and then go straight for two blocks.__eou__Is it far?	No. It's only a ten-minute walk.	No. It's a ten-minute walk.	I see. Thanks a lot.	-11.809881210327148	-11.824827194213867	-0.8435629435947963	-0.9096020918626052	14	13	-11.190938949584961	-11.421722412109375	-1.0173580863259055	-1.0383384011008523	11	11	-110.8900375366211	-111.13503456115723	-1.6071019932843638	-1.6343387435464298	69	68	True
1579	only	Excuse me, how do I get to the Forbidden City?__eou__Follow this road and turn right at the second intersection. It'll be right there.__eou__Is it far?	No, it should only take you about 15 minutes by foot.	No, it should take you about 15 minutes by foot.	Thank you.	-15.49718952178955	-15.707748889923096	-0.8609549734327528	-0.9239852288190056	18	17	-5.058689117431641	-4.995797157287598	-0.7226698739188058	-0.7136853081839425	7	7	-102.18281841278076	-102.30162811279297	-1.4391946255321233	-1.4614518301827566	71	70	True
1602	only	How is your house hunting going?__eou__Not very well. I haven’t found anything within my price range yet.__eou__How much are you looking to spend?	I can only afford about 300 pounds a month.	I can afford about 300 pounds a month.	Looks like you’re not going to get more than a bedroom in a shared flat with that.	-21.040510177612305	-20.885969161987305	-1.402700678507487	-1.4918549401419503	15	14	-43.06137180328369	-42.70283794403076	-1.8722335566645083	-1.8566451280013374	23	23	-134.8947458267212	-134.32869243621826	-1.686184322834015	-1.700363195395168	80	79	True
1624	only	Hi, I want to check out.__eou__Okay. Come with me.__eou__Can I pay by a credit card?	Sorry, you can only pay cash.	Sorry, you can pay cash.	OK. Here is the money.	-13.015865802764893	-15.141598224639893	-1.084655483563741	-1.3765089295127175	12	11	-16.048809051513672	-15.836219787597656	-1.4589826410466975	-1.4396563443270596	11	11	-104.79975080490112	-106.71777677536011	-1.8385921193842303	-1.9056745852742876	57	56	True
1706	only	You see, the bungee participants take a deep breath when they stand at the starting spot and then, like diving, their heads are over heels and they jump off into the realm of the combination of heaven and earth The wind roars at their ears and their bodies rapidly descend. They do not even have enough time to do several gymnastic movements and they are rebounded to the upper air by the cord.__eou__Entrusting life to the care of a rope indeed requires infinite courage.	A young French fellow recalled his first bungee experience and said, When I fastened the cord and walked to the platform, I was extremely nervous. When I looked down, I was nervous even more.If the cord had broken, I would be knocked to bake meat. However, I knew my worries were unwanted. I was afraid if I retreated others might say something about me. I had to harden my heart and impose my head downward. I only felt wind wiring at my ears. My body rapidly descended. I thought that after only seven or eight seconds I was rebounded to upper air by the cord. In fact it was 30 seconds. Maybe because of my nervousness, I only felt seven or eight seconds. When rebounding to the high altitude, I felt a sudden sense of relief. I did not feel nervous very much, but very comfortable.	A young French fellow recalled his first bungee experience and said, When I fastened the cord and walked to the platform, I was extremely nervous. When I looked down, I was nervous even more.If the cord had broken, I would be knocked to bake meat. However, I knew my worries were unwanted. I was afraid if I retreated others might say something about me. I had to harden my heart and impose my head downward. I felt wind wiring at my ears. My body rapidly descended. I thought that after seven or eight seconds I was rebounded to upper air by the cord. In fact it was 30 seconds. Maybe because of my nervousness, I felt seven or eight seconds. When rebounding to the high altitude, I felt a sudden sense of relief. I did not feel nervous very much, but very comfortable.	It is hard to come by in life that you experience this kind of comfortable!	-469.47359466552734	-468.7910804748535	-2.6227575120979183	-2.6635856845162134	179	176	-52.78350257873535	-52.96611022949219	-2.6391751289367678	-2.6483055114746095	20	20	-865.7722110748291	-865.2673454284668	-2.8479349048514115	-2.8746423436161685	304	301	True
1817	only	What’s the matter, dear?__eou__Something awful happened. We went to the Portobello Road, and someone stole my handbag.__eou__Oh, dear. Did you lose a lot of money?	No. Only a few pounds. But my passport was in the bag. That’what I’m really worried about.	No. A few pounds. But my passport was in the bag. That’what I’m really worried about.	You must tell your embassy about it. And I think they’ll issue you with a new one.	-42.54251265525818	-45.47954726219177	-1.5193754519735063	-1.684427676377473	28	27	-39.085747718811035	-39.274003982543945	-1.6285728216171265	-1.6364168326059978	24	24	-182.49157238006592	-185.63042068481445	-1.7717628386414166	-1.8199060851452398	103	102	True
1888	only	Ahh ... What a fine day! I do feel like an outdoor exercise.__eou__How about taking a walk in the park?__eou__OK.It' s delightful to have a walk in the park with the air so fresh.	( After they enter the park ) Oh, it's so quiet here.We have the park to ourselves, only you and me!	( After they enter the park ) Oh, it's so quiet here.We have the park to ourselves, you and me!	Don't you see many people over there? Just on your left.	-63.5556755065918	-63.8618278503418	-2.1185225168863933	-2.2021319948393723	30	29	-42.83050346374512	-43.7131404876709	-2.3794724146525064	-2.4285078048706055	18	18	-253.0524034500122	-254.24369525909424	-2.4568194509709924	-2.492585247638179	103	102	True
1891	only	I work so hard that I do not have the energy to exercise.__eou__That is just an excuse. You can always find some time to exercise.__eou__But I work hard all the time for long hours. Often I have no time for lunch. Yet, I am still getting fatter.	Bill, you know that work is not the same as exercise as it is stressful but not relaxing. And skipping meals will not help you lose weight.In fact your body will only store fat if you miss meals.	Bill, you know that work is not the same as exercise as it is stressful but not relaxing. And skipping meals will not help you lose weight.In fact your body will store fat if you miss meals.	I know you're right, but what can I do?	-123.55850219726562	-119.22042274475098	-2.686054395592731	-2.649342727661133	46	45	-17.77003288269043	-17.83961296081543	-1.1106270551681519	-1.1149758100509644	16	16	-285.3085832595825	-281.07011890411377	-2.1779281164853628	-2.162077837723952	131	130	True
1895	only	Hello. This is the Stewart Resident.__eou__Hello. Is Mr. Stewart there?__eou__This is Mr. Stewart. Who’s this?	I’m calling from Bell Canada. We are currently offering a great deal on long distance calling, only $ 17 a month. With this plan you get 500 minutes of long distance calls each month without any additional charges.	I’m calling from Bell Canada. We are currently offering a great deal on long distance calling, $ 17 a month. With this plan you get 500 minutes of long distance calls each month without any additional charges.	I’m sorry. I’m not interested in it.	-96.45170450210571	-97.16253519058228	-1.968402132696035	-2.0242194831371307	49	48	-15.85319709777832	-15.584400653839111	-1.0568798065185547	-1.038960043589274	15	15	-195.14461851119995	-195.62434196472168	-1.913182534423529	-1.9368746729180364	102	101	True
1938	only	What’s the matter, dear?__eou__Something awful happened. We went to the Portobello Road, and someone stole my handbag.__eou__Oh, dear. Did you lose a lot of money?	No. Only a few pounds. But my passport was in the bag. That’what I’m really worry about.	No. A few pounds. But my passport was in the bag. That’what I’m really worry about.	You must tell the embassy about it. And I think they’ll issue you with a new one.	-51.21682906150818	-54.15841841697693	-1.829172466482435	-2.005867348776923	28	27	-37.82160949707031	-37.98096466064453	-1.575900395711263	-1.5825401941935222	24	24	-189.89388847351074	-193.01662254333496	-1.843629985179716	-1.892319828856225	103	102	True
1967	only	They must have got in through the kitchen window.	If only we'd remember to close it.	If we'd remember to close it.	I am afraid your diamond bracelet has gone, darling!	-26.339374542236328	-27.076190948486328	-2.026105734018179	-2.256349245707194	13	12	-48.481849670410156	-49.79143524169922	-3.232123311360677	-3.3194290161132813	15	15	-120.46439933776855	-122.52837944030762	-2.8681999842325845	-2.988497059519698	42	41	True
1997	only	Excuse me, please.Could you tell me how to get to the No. 10 Middle School?__eou__Walk down this road, take the fourth turn to the right.Then you'll see it.__eou__Is it far from here to there?	No. It's only about five minutes' walk.	No. It's about five minutes' walk.	Many thanks!	-10.492986679077148	-9.430242538452148	-0.6995324452718099	-0.673588752746582	15	14	-9.084970474243164	-9.095781326293945	-1.2978529248918806	-1.2993973323277064	7	7	-144.16204166412354	-143.18560886383057	-1.758073678830775	-1.7677235662201305	82	81	True
2005	only	Michael, it is time to wake up.__eou__Huh?	Yes, it is time to wake up. And, also, from now on I will speak only English to you. And you should speak only English to me, too.	Yes, it is time to wake up. And, also, from now on I will speak English to you. And you should speak English to me, too.	Okay, mom.	-67.41637563705444	-64.9326720237732	-1.7286250163347294	-1.7549370817235999	39	37	-11.547297954559326	-11.646069049835205	-1.4434122443199158	-1.4557586312294006	8	8	-131.27947235107422	-128.92077922821045	-1.9593951097175257	-1.98339660351093	67	65	True
2032	only	You should not have criticize your son in front of his friends.__eou__Why? He did something wrong.__eou__I know. But at that time your blame is rubbing salt into his wounds.	I only wanted to help him.	I wanted to help him.	But it is not the right time.	-15.09333610534668	-13.87824821472168	-1.3721214641224255	-1.387824821472168	11	10	-13.546719551086426	-13.743216514587402	-1.128893295923869	-1.1452680428822835	12	12	-151.35974597930908	-150.33859157562256	-2.1318274081592827	-2.1476941653660364	71	70	True
2038	only	Dad, can you buy a new camera? My old one has gone west.	What? I gave it to you only 3 months ago.	What? I gave it to you 3 months ago.	So, you didn’t buy a good one for me. This time how about a better one?	-25.683210372924805	-24.99836540222168	-1.5107770807602827	-1.562397837638855	17	16	-46.407301902770996	-47.32750701904297	-1.9336375792821248	-1.9719794591267903	24	24	-140.7876386642456	-141.0126075744629	-2.307994076463043	-2.350210126241048	61	60	True
2067	only	Paul, you were also a parent of young kids before. So, can you tell me what you did when your kids didn’t behave very well?	I know Mark is your only child. You may do it differently from what I did. Sometimes I would tap their hands when they made troubles.	I know Mark is your child. You may do it differently from what I did. Sometimes I would tap their hands when they made troubles.	I do it, too. You know, sometimes when we eat, my child would pull a dish towards him and grab it with his hands and eat. And if it were something he doesn’t like, he would spit it out and throw it into other dishes. He does it very often. I really get mad. I can’t help spank him sometimes.	-98.1635513305664	-95.9004020690918	-2.9746530706232246	-2.9968875646591187	33	32	-168.46090698242188	-169.65780639648438	-2.1878039867847	-2.2033481350192776	77	77	-374.2718505859375	-373.26025390625	-2.599110073513455	-2.610211565777972	144	143	True
2102	only	Daniel, have you finished your homework?	Not yet, Dad. I am watching Ultraman instead.No, no, Dad. Please. This program is on only once a week.	Not yet, Dad. I am watching Ultraman instead.No, no, Dad. Please. This program is on once a week.	Daniel, as a matter of fact, TV is bad for your health.	-85.07986068725586	-87.96841049194336	-2.6587456464767456	-2.837690661030431	32	31	-29.424644470214844	-28.985715866088867	-1.5486654984323602	-1.5255639929520457	19	19	-158.44374465942383	-160.88291549682617	-2.514980073959108	-2.594885733819777	63	62	True
