id	word	context	w_word	wo_word	followup	log_prob_w_word	log_prob_wo_word	log_prob_w_word_per_token	log_prob_wo_word_per_token	w_word_token_count	wo_word_token_count	log_prob_followup_with	log_prob_followup_without	log_prob_followup_with_per_token	log_prob_followup_without_per_token	followup_token_count_with	followup_token_count_without	log_prob_full_with	log_prob_full_without	log_prob_full_with_per_token	log_prob_full_without_per_token	full_token_count_with	full_token_count_without	include_context	observer_mode
235	not	Hello, I'm sorry for calling this late. May I speak to Peter?	I'm sorry. He's not in right now.	I'm sorry. He's in right now.	When is he coming back?	-86.7011581659317	-100.66844463348389	-5.418822385370731	-6.711229642232259	16	15	-25.09389102458954	-26.10925328731537	-2.281262820417231	-2.3735684806650337	11	11	-220.08899402618408	-235.0716427564621	-4.491612122983349	-4.897325890759627	49	48	True	False
244	not	I would like to buy a black suit.__eou__Do you have any special brand in your mind?__eou__No, I never wear suit in my everyday life. I just want one to take part in my sister’s wedding ceremony.	I see. Have a look at this one. It’s very cheap because it’s not very durable.	I see. Have a look at this one. It’s very cheap because it’s very durable.	but it looks good. Let me try it on.	-143.16307282447815	-145.19700837135315	-5.506272031710698	-5.807880334854126	26	25	-47.420697808265686	-41.40810585021973	-2.9637936130166054	-2.588006615638733	16	16	-451.7949204444885	-447.80283629894257	-4.429361965142045	-4.433691448504382	102	101	True	False
249	not	Do you carrying fresh fish?__eou__Yes we do. Check the meat department. There is a fish counter there too.	I already looked, but did not see anything.	I already looked, but did see anything.	Let me show you.	-81.48589706420898	-88.66985702514648	-5.432393137613932	-6.3335612160818915	15	14	-23.74696159362793	-22.621554493904114	-2.374696159362793	-2.2621554493904115	10	10	-288.71218824386597	-294.75462782382965	-4.893426919387559	-5.081976341790166	59	58	True	False
272	not	Where's the nearest tailor's?__eou__There is one just around the corner.__eou__The jacket is tight in the shoulders and long in the sleeve. What about the price there?	The price is moderate, but their work is sometimes not satisfactory.	The price is moderate, but their work is sometimes satisfactory.	Is there a better tailor's around here?	-87.67266511917114	-85.26415395736694	-4.87070361773173	-5.0155384680804085	18	17	-23.735721111297607	-24.41919457912445	-1.695408650806972	-1.744228184223175	14	14	-344.63796377182007	-342.9963792562485	-4.202901997217318	-4.234523200694426	82	81	True	False
279	not	Can I also take the MET to get there?__eou__Yeah sure, it's much quicker. Do you know how?__eou__No, can I trouble you to lend me a hand?	Ok, not a problem. Let's go to the station.	Ok, a problem. Let's go to the station.	You have to buy a ticket first. You want to go to Shi Da, right?	-83.671630859375	-95.04397583007812	-4.648423936631945	-5.590822107651654	18	17	-64.32054197788239	-62.63456857204437	-2.7965453033861905	-2.723242111828016	23	23	-403.56758248806	-413.2430897951126	-4.386604157478913	-4.541132854891347	92	91	True	False
288	not	Are you going grocery shopping today?__eou__I am, as a matter of fact. Do you have any special requests?	Yes, please get some white bread, thick cut, some ham, not the processed stuff, some gouda cheese, some galla apples and...	Yes, please get some white bread, thick cut, some ham, the processed stuff, some gouda cheese, some galla apples and...	Wait. This is sounding like a major list. Why don't you just come with me?	-161.97901153564453	-166.9868060350418	-4.499416987101237	-4.7710516010011945	36	35	-77.62103343009949	-77.69997668266296	-3.234209726254145	-3.23749902844429	24	24	-374.8459746837616	-379.98335552215576	-3.987723134933634	-4.085842532496298	94	93	True	False
302	not	Would you like to have some icecream? I've got a variety of flavors for you to choose from. I've got strawberry, peach, chocolate, coffee, vanilla and praline.__eou__Wow! So many choices you have! I wish I could, but I just can't. I'm on a diet to lose weight.__eou__Come on, just a bite. It doesn't really hurt to have just a bite.	I'd better not. Please don't tempt me. Please!	I'd better. Please don't tempt me. Please!	Gee! You are really strong-willed.	-86.7385823726654	-96.94383502006531	-4.818810131814745	-5.702578530592077	18	17	-46.98523926734924	-45.582167625427246	-3.1323492844899494	-3.038811175028483	15	15	-468.12724328041077	-476.92398250102997	-3.4934868901523193	-3.585894605270902	134	133	True	False
309	not	Would you like a piece of birthday cake?__eou__No, thanks, I'll pass. It looks very tempting though.__eou__I thought strawberry cake with cream cheese frosting was your favorite?	It is. I'm on a diet and strawberry cream cheese cake is not on it.	It is. I'm on a diet and strawberry cream cheese cake is on it.	A diet? What for? You are in great shape.	-110.80499386787415	-119.54156613349915	-4.817608429038006	-5.433707551522688	23	22	-49.96694588661194	-47.833507657051086	-2.939232110977173	-2.813735744532417	17	17	-365.0582115650177	-371.67220985889435	-4.011628698516678	-4.129691220654381	91	90	True	False
319	not	Did you ever buy food from the snack stands near our hotel?__eou__Yes, several times.__eou__How do you like them?	Not bad.	Bad.	I always have the temptation to eat something there.	-65.8555908203125	-64.98980712890625	-8.231948852539062	-9.284258161272321	8	7	-44.866395115852356	-46.828463554382324	-2.9910930077234905	-3.121897570292155	15	15	-312.6143548488617	-313.7050243616104	-4.962132616648598	-5.059758457445329	63	62	True	False
320	not	It is my first time coming to China. I want to buy something unique of China to my friends as gifts.__eou__We have a great variety of Chinese antiques and porcelain. Do you like them?	Yes, I love them, but they are fragile. It is not convenient to take them.	Yes, I love them, but they are fragile. It is convenient to take them.	You are right. How about paintings and embroidered handkerchiefs?	-95.65236473083496	-101.66695213317871	-3.9855151971181235	-4.420302266659944	24	23	-74.05537378787994	-71.06284320354462	-3.8976512519936812	-3.740149642291822	19	19	-379.36723816394806	-382.37531793117523	-4.035821682595192	-4.111562558399734	94	93	True	False
327	not	Why don't you sit down and relax, darling?__eou__I don't want to.__eou__Well, come over and talk to me then.	Certainly not.	Certainly.	May I turn on the TV then?	-60.1307373046875	-63.3956298828125	-7.5163421630859375	-9.0565185546875	8	7	-35.52799034118652	-32.46664655208588	-2.7329223339374247	-2.497434350160452	13	13	-272.9239008426666	-273.1860694885254	-4.264435950666666	-4.3362868172781805	64	63	True	False
333	not	Dad, what are we doing tonight for fun?__eou__We're going over to Mrs. Smith's place to help her with her yard work.	Yard work? I said' what are we doing for fun', not work!	Yard work? I said' what are we doing for fun', work!	It will be fun. And besides, you'll be in the best company.	-112.43169939517975	-132.16346180438995	-5.110531790689989	-6.293498181161427	22	21	-71.51576900482178	-69.21627020835876	-3.405512809753418	-3.296012867064703	21	21	-344.38969933986664	-361.942405462265	-4.14927348602249	-4.413931773930061	83	82	True	False
355	not	( A stranger stops to help ) Everything OK?	No! My tour bus got a speeding ticket not ten minutes ago. Now my engine is on fire!	No! My tour bus got a speeding ticket ten minutes ago. Now my engine is on fire!	I think that's just steam. Your engine's overheated.	-141.36896181106567	-138.85974550247192	-5.437267761964065	-5.554389820098877	26	25	-48.963013768196106	-51.4226850271225	-2.72016743156645	-2.856815834840139	18	18	-297.1369563341141	-297.05233132839203	-4.952282605568568	-5.034785276752407	60	59	True	False
360	not	Chinese tea is famous all over the world. I want to buy several boxes.__eou__There are various kinds of tea in China. It depends on the taste and effect.	Well, I do not know Chinese tea at all.	Well, I do know Chinese tea at all.	This is green tea, you can drink it in summer. It can relieve summer-heat and it is good for maintaining your lungs.	-84.04772305488586	-87.31270742416382	-5.2529826909303665	-5.820847161610922	16	15	-106.516277551651	-103.82745146751404	-3.328633673489094	-3.2446078583598137	32	32	-388.266277551651	-388.8342134952545	-4.220285625561424	-4.272903445002797	92	91	True	False
367	not	Would you like to see our new shirts?	Sorry, but I'm not really that interested in those things.	Sorry, but I'm really that interested in those things.	Well, they are very nice you know.	-100.81646156311035	-107.9232530593872	-5.600914531283909	-6.348426650552189	18	17	-46.74230682849884	-39.34249567985535	-3.3387362020356313	-2.8101782628468106	14	14	-223.89825117588043	-223.7102015018463	-4.763792578210222	-4.863265250040137	47	46	True	False
379	not	What can I do for you?__eou__I'd like to buy a keepsake for my girlfriend. Could you make a recommendation for me?__eou__I'd like to. How do you like the hat?	It's not special. It can be seen everywhere.	It's special. It can be seen everywhere.	How about the umbrella? It's made of wood and paper. It's very beautiful.	-104.23994445800781	-102.32011413574219	-6.514996528625488	-6.821340942382813	16	15	-68.37566781044006	-63.82530128955841	-2.9728551221930464	-2.775013099546018	23	23	-418.043549656868	-411.5334663391113	-4.447271804860297	-4.425091035904423	94	93	True	False
381	not	Has someone already helped you?	No, not yet. I'd like to buy a teapot.	No, yet. I'd like to buy a teapot.	Which do you like best?	-92.9250055551529	-101.3042608499527	-4.890789766060679	-5.628014491664039	19	18	-34.015434980392456	-33.88845705986023	-3.0923122709447686	-3.0807688236236572	11	11	-203.689976811409	-211.96321594715118	-4.849761352652595	-5.169834535296371	42	41	True	False
383	not	I need some flowers for my girlfriend.__eou__No problem. Would you like some artificial carnations?	Oh, no. Carnations are not very elegant. Artificial flowers have no passion.	Oh, no. Carnations are very elegant. Artificial flowers have no passion.	How much did you want to spend?	-112.08892369270325	-110.13396763801575	-5.094951076941057	-5.244474649429321	22	21	-25.989116668701172	-26.34489381313324	-1.9991628206693208	-2.0265302933179417	13	13	-296.58383214473724	-295.0551292896271	-4.562828186842111	-4.610236395150423	65	64	True	False
385	not	Dad, do you know where Mom is?__eou__I think she is in her room putting a little something together for you to take to school with you.	She'd better not start crying like she usually does.	She'd better start crying like she usually does.	I know, but she is going to miss you something awful. Have I told you how proud I am of you?	-87.56797921657562	-96.57506835460663	-5.472998701035976	-6.438337890307109	16	15	-65.54716944694519	-66.87301552295685	-2.260247222308455	-2.3059660525157533	29	29	-327.5829510688782	-337.9235624074936	-3.765321276653772	-3.929343748924344	87	86	True	False
388	not	Do I have to deposit my handbag at the checkroom?	No, you do not have to. The handbag can be taken with you. There is the cart at the entrance.	No, you do have to. The handbag can be taken with you. There is the cart at the entrance.	Thank you. I'd tike to buy some milk powder for my baby. Is there anything that you can recommend for me?	-138.45295548439026	-145.89049172401428	-4.615098516146342	-5.030706611172906	30	29	-95.55147659778595	-95.26023530960083	-3.0823056967027727	-3.0729108164387364	31	31	-329.24128127098083	-336.4368381500244	-4.115516015887261	-4.258694153797777	80	79	True	False
413	not	Can I help you, sir?__eou__I'd like a table for two, please.__eou__Do you have a reservation, sir?	No, I'm afraid not. Can I sit over there? There's a table free by the window.	No, I'm afraid. Can I sit over there? There's a table free by the window.	Sorry, sir. That table has been reserved. This way, please. How about this one, sir?	-85.00874733924866	-98.95225393772125	-3.148472123675876	-3.8058559206815867	27	26	-65.53278386592865	-65.671923995018	-2.427140143182543	-2.432293481296963	27	27	-309.7892611026764	-323.8231312036514	-3.2609395905544885	-3.4449269276984196	95	94	True	False
420	not	Hello, Can I speak to Tom, please?	I'm afraid he is not in at the moment.	I'm afraid he is in at the moment.	May I ask what time he will come back?	-78.95250296592712	-90.69444370269775	-4.934531435370445	-6.046296246846517	16	15	-38.89160513877869	-40.64503872394562	-2.592773675918579	-2.709669248263041	15	15	-200.92624759674072	-214.38033640384674	-4.275026544611505	-4.660442095735799	47	46	True	False
427	not	Jenny, you should go to bed now.__eou__But it's still early.__eou__Don't stay up late.	But Day. I'm not sleepy.	But Day. I'm sleepy.	Well, honey. Turn off the light, lie down and go to sleep.	-81.02082824707031	-86.91046142578125	-6.232371403620793	-7.2425384521484375	13	12	-53.44793176651001	-49.21025812625885	-2.5451396079290483	-2.3433456250599454	21	21	-299.22632598876953	-300.897008061409	-4.1559211942884655	-4.237986029033929	72	71	True	False
460	not	What can I help you with today?__eou__My washing machine isn't working.__eou__What's the problem?	The water will not drain.	The water will drain.	Is there anything else wrong with it?	-75.26972079277039	-89.30304598808289	-6.8427018902518535	-8.930304598808288	11	10	-38.45935571193695	-32.67718172073364	-2.958411977841304	-2.513629363133357	13	13	-268.51310205459595	-276.79330599308014	-4.475218367576599	-4.691411965984409	60	59	True	False
467	not	I'm thirsty. Pull over to that store, I'll buy some drinks.	I'm afraid I can't. Parking is not allowed here.	I'm afraid I can't. Parking is allowed here.	Oh, that's too bad. Where can you park around here?	-101.1816053390503	-110.93820476531982	-5.621200296613905	-6.525776750901166	18	17	-32.289127469062805	-29.772478103637695	-1.6994277615296214	-1.566972531770405	19	19	-245.34030306339264	-252.59667921066284	-4.158310221413434	-4.355115158804532	59	58	True	False
480	not	Hi Mike. What have you been up to?	Not much. I started exercising.	Much. I started exercising.	Trying to get in shape?	-92.379638671875	-98.3538818359375	-7.69830322265625	-8.941261985085227	12	11	-29.266101956367493	-30.423596382141113	-2.6605547233061357	-2.7657814892855557	11	11	-200.33460772037506	-207.46811532974243	-5.13678481334295	-5.459687245519538	39	38	True	False
482	not	Mike, I'm afraid I can't come back home for dinner tonight.	Not back home for dinner again? That's the third time this week!	Back home for dinner again? That's the third time this week!	I'm sorry. Our company has just opened. There are always too many things to handle. You know that.	-81.40488624572754	-83.18536376953125	-4.070244312286377	-4.378177040501645	20	19	-94.16918516159058	-92.32288134098053	-3.3631851843425205	-3.297245762177876	28	28	-267.2854815721512	-267.2006924152374	-3.873702631480452	-3.9294219472829033	69	68	True	False
562	not	Hello? This is Steven. I'd like to speak to Mr. Brown, please.	I'm afraid he is not in at the moment.	I'm afraid he is in at the moment.	Then what time do you think he will be in?	-71.97176277637482	-85.6017656326294	-4.498235173523426	-5.706784375508627	16	15	-34.585843324661255	-44.58754503726959	-2.1616152077913284	-2.7867215648293495	16	16	-203.1182278394699	-226.74993240833282	-3.6271112114191055	-4.122726043787869	56	55	True	False
569	not	May I help you?__eou__I'm just browsing, thanks.	We're on clearance sale now. Prices have up to twenty percent off. Do not miss the chance.	We're on clearance sale now. Prices have up to twenty percent off. Do miss the chance.	Well, how about fifty percent discount? If so, I'll buy that fur coat.	-152.1707305908203	-159.65481567382812	-5.852720407339243	-6.386192626953125	26	25	-78.01555705070496	-76.5394572019577	-3.391980741334998	-3.327802487041639	23	23	-350.2889505624771	-356.2534177303314	-4.865124313367738	-5.017653770849738	72	71	True	False
576	not	Hi, Kerry. Did your husband make cooking for you?	Oh, please do not mention it any more. Last night he did it for the first time.	Oh, please do mention it any more. Last night he did it for the first time.	Really? Was it delicious?	-140.26970672607422	-147.90972423553467	-5.610788269042969	-6.162905176480611	25	24	-36.22934305667877	-31.596628069877625	-3.293576641516252	-2.8724207336252388	11	11	-290.2597495317459	-293.2670520544052	-5.375180546884184	-5.533340604800098	54	53	True	False
588	not	I'm glad these batteries are on sale.	I'm sorry. These batteries are not on sale.	I'm sorry. These batteries are on sale.	But that's what the ad said.	-87.29614686965942	-88.0829086303711	-5.456009179353714	-5.872193908691406	16	15	-44.71216130256653	-46.64316284656525	-3.4393970232743483	-3.587935603581942	13	13	-212.87458288669586	-215.6100240945816	-4.83805870197036	-5.014186606850735	44	43	True	False
609	not	Good morning. What can I do for you, sir?__eou__Good morning. I'd like to have a haircut.__eou__Very well. Please sit down here. Do you want me to cut your hair very close?	Please cut the sides shorter, but not so much at the back.	Please cut the sides shorter, but so much at the back.	It's such a hot season, isn't it? May I suggest thinning out the top?	-88.68340837955475	-100.17463684082031	-4.66754780945025	-5.5652576022677955	19	18	-81.74944198131561	-79.78118634223938	-3.2699776792526247	-3.1912474536895754	25	25	-407.65303218364716	-417.16780388355255	-3.996598354741639	-4.1303742958767575	102	101	True	False
617	not	Can you show me how to use chopsticks?__eou__With pleasure.	Oh, it is not easy to learn!	Oh, it is easy to learn!	I think you are a quick learner.	-82.09474086761475	-80.3139181137085	-5.863910061972482	-6.1779937010545	14	13	-47.36628997325897	-33.9507030248642	-3.643560767173767	-2.611592540374169	13	13	-261.14231395721436	-245.94590425491333	-5.120437528572831	-4.918918085098267	51	50	True	False
658	not	I wonder if you can help me. I'm looking for a room.__eou__Yes. I've got a small room.__eou__How much is it?	200 Yuan a week, but smoking is not allowed.	200 Yuan a week, but smoking is allowed.	OK. Can I see the room now?	-87.53940391540527	-87.9765396118164	-5.47121274471283	-5.86510264078776	16	15	-25.550159096717834	-25.607085347175598	-1.825011364051274	-1.829077524798257	14	14	-312.38619685173035	-312.83733773231506	-4.165149291356404	-4.227531590977231	75	74	True	False
669	not	Good evening. Welcome to our restaurant.__eou__Good evening. We want a dinning room with a table for eight.	I'm sorry, sir. The rooms are not available now. But would you like to have your dinner in the dinning hall? I can find a table by the window for you.	I'm sorry, sir. The rooms are available now. But would you like to have your dinner in the dinning hall? I can find a table by the window for you.	No, thanks. We have made a reservation before.	-131.59987568855286	-138.1626808643341	-3.0604622253151827	-3.2895876396270025	43	42	-49.51175558567047	-46.29312717914581	-3.0944847241044044	-2.8933204486966133	16	16	-359.954612493515	-363.3171875476837	-3.8704797042313444	-3.949099864648736	93	92	True	False
677	not	The car isn't running smoothly. I'd like to have a look at it.__eou__What's the matter with it?	I'm not sure. It could be the tires. Let's stop here.	I'm sure. It could be the tires. Let's stop here.	How about the tires?	-112.51827812194824	-120.85836791992188	-5.358013243902297	-6.042918395996094	21	20	-26.2485454082489	-24.773467779159546	-2.6248545408248902	-2.4773467779159546	10	10	-267.90174770355225	-274.65555560588837	-4.059117389447762	-4.225470086244436	66	65	True	False
678	not	Excuse me, do you know where the Post Office is?	Yes, it's not very far from here. Follow this road until you get to the traffic lights. You will see a small restaurant at the corner.	Yes, it's very far from here. Follow this road until you get to the traffic lights. You will see a small restaurant at the corner.	Is the restaurant on the right or on the left hand side of the road?	-138.80695605278015	-146.03375959396362	-3.855748779243893	-4.172393131256103	36	35	-33.195295095443726	-31.58507525920868	-1.5807283378782726	-1.5040512028194608	21	21	-244.19259750843048	-249.79589128494263	-3.21306049353198	-3.330611883799235	76	75	True	False
686	not	Would you like to have a piece of cake?__eou__No, thank you. I'm on a diet.	Why? You're not fat.	Why? You're fat.	I'm considering entering for the beauty contest this summer, so I must have a slender figure.	-78.790283203125	-84.34933471679688	-6.56585693359375	-7.668121337890625	12	11	-77.47457349300385	-71.9883691072464	-3.22810722887516	-2.9995153794686	24	24	-283.552619099617	-283.5472649335861	-4.169891457347309	-4.232048730352032	68	67	True	False
692	not	Hi, Mike. I am going to move on the first of next month.__eou__Congratulations! So, have you started planning your move?__eou__Yes, I am trying to find good movers now. Do you know any?	Not really.	Really.	What did you do for your last move?	-63.57754564285278	-70.23184251785278	-7.947193205356598	-10.033120359693255	8	7	-24.803052186965942	-23.509186267852783	-1.7716465847832816	-1.679227590560913	14	14	-329.4605242013931	-334.83853328227997	-4.067413879029544	-4.185481666028499	81	80	True	False
697	not	Hi Steve, it's nice to meet you. I hear that you're looking for an apartment, and I just rented a two-bedroom downtown. I'm looking for a compatible roommate.__eou__Great, I'm looking for a place right in that area. Your apartment sounds ideal.__eou__Alright. So tell me, how would you describe yourself?	I'm pretty social and outgoing, and I like making new friends. But I'm not a party animal, and I like to keep the apartment clean.	I'm pretty social and outgoing, and I like making new friends. But I'm a party animal, and I like to keep the apartment clean.	I'm like that too. I like to invite friends over sometimes, but I don't want to have lots of crazy parties at the apartment.	-103.92222785949707	-118.12900924682617	-2.8867285516526966	-3.3751145499093194	36	35	-73.4897084236145	-69.75511181354523	-2.16146201245925	-2.051620935692507	34	34	-477.65883708000183	-488.099546790123	-3.1219531835294236	-3.211181228882388	153	152	True	False
698	not	What is your favorite coffee?	Irish coffee is my favorite. But I'm not particular on it.	Irish coffee is my favorite. But I'm particular on it.	All right. Would you make coffee yourself when you are at home?	-116.45903491973877	-119.72490310668945	-5.822951745986939	-6.301310689825761	20	19	-63.048771381378174	-66.69715976715088	-3.318356388493588	-3.5103768298500464	19	19	-237.07105660438538	-243.98506999015808	-4.648452090282066	-4.879701399803162	51	50	True	False
702	not	Good coming, sir.__eou__Good morning.__eou__Would you mind moving to the middle of the bus?	Of course not. But I don't know when to get off.	Of course. But I don't know when to get off.	Where are you going?	-96.29458522796631	-96.91890048980713	-5.0681360646298055	-5.384383360544841	19	18	-8.482120752334595	-9.28136157989502	-0.8482120752334594	-0.928136157989502	10	10	-304.87080121040344	-306.43987715244293	-4.763606268912554	-4.8641250341657605	64	63	True	False
729	not	Can I help you?	Yes, my brakes are not working well.	Yes, my brakes are working well.	What's wrong with them?	-90.17492616176605	-97.35510194301605	-6.441066154411861	-7.488853995616619	14	13	-31.302104473114014	-24.015016794204712	-2.845645861192183	-2.183183344927701	11	11	-178.19219732284546	-178.10689187049866	-4.94978325896793	-5.088768339157104	36	35	True	False
741	not	I'm looking for a string of pearls for my wife.__eou__Yes, sir. What price range do you have in mind?	I'm not sure. I don't know very much about the price of pearls.	I'm sure. I don't know very much about the price of pearls.	I see. Let me show you some samples of various qualities. This one is very nice. It's three hundred and fifty dollars.	-78.91746962070465	-91.5114756822586	-3.5871577100320295	-4.357689318202791	22	21	-112.95195591449738	-111.49487340450287	-3.529748622328043	-3.4842147938907146	32	32	-345.53403174877167	-356.683748960495	-3.8392670194307965	-4.0076825725898315	90	89	True	False
768	not	Taxi!__eou__Where will you go, sir?__eou__Friendship Hotel.	OK, it's not far from here.	OK, it's far from here.	I have something important to do, can you fast the speed?	-65.31443774700165	-67.35788714885712	-4.665316981928689	-5.181375934527471	14	13	-55.592461943626404	-54.02223289012909	-3.0884701079792447	-3.001235160562727	18	18	-290.9778461456299	-291.3802617788315	-4.6931910668649985	-4.776725602931664	62	61	True	False
789	not	I have learnt how to ride a bicycle. I plan to go to the Water Park by bike this weekend.	Well, you know, the traffic in Beijing is sometimes dangerous. Therefore, I have to remind you of something. First, you should obey the traffic rules, don't break in the red light. Second, don't play a joke with your friends when riding on the bike. Third, do not hurry up when riding, or would make an accident. Finally, remember come on the left and go on the right!	Well, you know, the traffic in Beijing is sometimes dangerous. Therefore, I have to remind you of something. First, you should obey the traffic rules, don't break in the red light. Second, don't play a joke with your friends when riding on the bike. Third, do hurry up when riding, or would make an accident. Finally, remember come on the left and go on the right!	Oh, my dear sister, I am no longer a baby!	-326.6162567138672	-332.13704681396484	-3.6698455810546875	-3.7742846228859643	89	88	-60.931886315345764	-60.16748249530792	-3.385104795296987	-3.342637916405996	18	18	-510.07343101501465	-514.8298516273499	-3.778321711222331	-3.8420138181145513	135	134	True	False
