model,model_group,source_path,id,word,context,w_word,wo_word,followup,removal_log_prob_delta_per_token,removal_upper_iqr_outlier,include_context,log_prob_w_word,log_prob_wo_word,log_prob_w_word_per_token,log_prob_wo_word_per_token,w_word_token_count,wo_word_token_count,log_prob_followup_with,log_prob_followup_without,log_prob_followup_with_per_token,log_prob_followup_without_per_token,followup_token_count_with,followup_token_count_without,log_prob_full_with,log_prob_full_without,log_prob_full_with_per_token,log_prob_full_without_per_token,full_token_count_with,full_token_count_without,observer_mode
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,745,only,"Good morning, I want to send this parcel to Taiwan.__eou__Airmail or surface mail?__eou__How long would surface mail take, compared with airmail?","Oh, anything up to 3 or 4 months for surface mail. It depends on the sailing of the ships. Airmail would only take 1 to 2 weeks.","Oh, anything up to 3 or 4 months for surface mail. It depends on the sailing of the ships. Airmail would take 1 to 2 weeks.",How much would this parcel cost me by airmail?,-0.016987219380169227,False,True,-60.91389608383179,-58.74870252609253,-1.4857047825324825,-1.4687175631523133,41,40,-18.610324144363403,-18.57306218147278,-1.1631452590227127,-1.1608163863420486,16,16,-171.5707323551178,-169.3710367679596,-1.698720122327899,-1.693710367679596,101,100,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,794,only,"Can I have the window seat over there?__eou__Sorry, sir. That table has been booked.","Well, in that case, this table is the only choice.","Well, in that case, this table is the choice.",Actually you can have a window seat if you don't mind a ten-minute wait.,0.3150468328419853,False,True,-28.86559009552002,-32.20836353302002,-1.697975887971766,-2.013022720813751,17,16,-36.77985191345215,-39.21373224258423,-1.7514215196881975,-1.8673205829802013,21,21,-138.88394832611084,-144.63572359085083,-2.1366761280940127,-2.259933181107044,65,64,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,797,only,"Good evening, may I help you?__eou__I would like to book a table for six tonight.","Sorry, sir. We have only double tables left.","Sorry, sir. We have double tables left.",What a pity. Can you recommend a nice restaurant near here?,0.2718988781883602,False,True,-29.296030044555664,-31.149545669555664,-1.9530686696370443,-2.2249675478254045,15,14,-25.033623695373535,-24.969626426696777,-1.472566099727855,-1.4688015545115751,17,17,-110.89152717590332,-112.67567443847656,-1.8795174097610732,-1.9426840420426994,59,58,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,871,only,"Tom, how do you think of second-hand goods?__eou__Why did you ask that? Do you want to buy the used goods?__eou__I'm considering buying a second-hand computer for I'm short of money now.","You know the car I'm driving, which is still in good condition though it is second-hand. And it only cost me 300 dollars. It was so cheap.","You know the car I'm driving, which is still in good condition though it is second-hand. And it cost me 300 dollars. It was so cheap.",But do you really mean that the second - hand goods are just as good as the new ones?,0.08534395508203207,False,True,-75.75458717346191,-76.91877174377441,-1.9935417677226819,-2.078885722804714,38,37,-39.88072681427002,-40.152276039123535,-1.6616969505945842,-1.6730115016301472,24,24,-249.64546251296997,-251.03032159805298,-2.152116056146293,-2.1828723617222,116,115,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,876,only,"I like Chinese food.__eou__I like Chinese food, too. I like dumplings best.__eou__At school, we sometimes have Chinese food for lunch.",That's good. We eat Chinese food only at the Chinese restaurant.,That's good. We eat Chinese food at the Chinese restaurant.,My mother can make some Chinese food.,-0.10645932621426057,False,True,-26.12120008468628,-22.86021375656128,-1.4511777824825711,-1.3447184562683105,18,17,-16.103269577026367,-16.9975643157959,-1.341939131418864,-1.4164636929829915,12,12,-118.17034387588501,-115.80487298965454,-1.6643710405054226,-1.6543553284236363,71,70,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,915,only,"Steven, we are preparing a martial arts show for the New Year's party. Would you like to join us?","I'd love to! But I have never learned martial arts, and there is only a month left before the New Year.","I'd love to! But I have never learned martial arts, and there is a month left before the New Year.",That's OK. A month is enough for you to learn the basic movements. It would be great to have you with us on the show.,0.1736782853826513,False,True,-40.60039520263672,-44.06337356567383,-1.4000136276771282,-1.5736919130597795,29,28,-39.49045181274414,-40.08741569519043,-1.1966803579619436,-1.214770172581528,33,33,-167.18075942993164,-171.27717399597168,-1.878435499212715,-1.9463315226814963,89,88,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,951,only,Have you got any outdoor interests?,Yes. My only recreation is skateboarding.,Yes. My recreation is skateboarding.,"Oh, I know it. It is included in extreme sports. I think it's too dangerous for me.",-0.31112465491661645,False,True,-32.14881896972656,-25.942337036132812,-2.472986074594351,-2.1618614196777344,13,12,-57.752387046813965,-56.83439922332764,-2.221245655646691,-2.1859384316664476,26,26,-134.32399082183838,-127.20095539093018,-2.6864798164367674,-2.595937865121024,50,49,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,965,only,"Excuse me, where is the Beijing Railway Station?__eou__You can take the subway to get there.__eou__How long will it take to get there?",It takes only ten minutes.,It takes ten minutes.,May I take a bus or a taxi to get there?,0.06274844275580505,False,True,-9.801717758178711,-9.386281967163086,-0.9801717758178711,-1.0429202185736761,10,9,-22.720288276672363,-22.636435508728027,-1.4200180172920227,-1.4147772192955017,16,16,-100.01196908950806,-99.56417655944824,-1.4927159565598218,-1.5085481296886096,67,66,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,966,only,"Excuse me, can you tell me where Main Street is?__eou__Turn left at the second light and then go straight for two blocks.__eou__Is it far?",No. It's only a five-minute walk. You can't miss it.,No. It's a five-minute walk. You can't miss it.,Thanks a lot.,0.04887625167244358,False,True,-17.496782779693604,-17.55059242248535,-0.8748391389846801,-0.9237153906571237,20,19,-5.845205307006836,-5.915082931518555,-0.7306506633758545,-0.7393853664398193,8,8,-94.32891607284546,-94.45065069198608,-1.3285762827161332,-1.3492950098855154,71,70,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,1010,only,"In 1986, a New Zealander Hackett popularized Bungee as a commercialized sport of mass entertainment. This sport is very challenging. It is a test of people's psychological ability of endurance. Especially when descending, as if they are watching a fast forward tape and when they bounce back, they sway around. The timid people will shrink back at the sight of it. Even if they jump off, they find it hard to avoid screaming with closed eyes. No wonder people give the title' brave' to anyone who jumps off.__eou__You see, the bungee participants take a deep breath when they stand at the starting spot and then, like diving, their heads are over heels and they jump off into the realm of the combination of heaven and earth. The wind roars at their ears and their bodies rapidly descend. They do not even have enough time to do several gymnastic movements and they are rebounded to the upper air by the cord.__eou__Entrusting life to the care of a rope indeed requires infinite courage.","A young French fellow recalled his first bungee experience and said, "" When I fastened the cord and walked to the platform, I was extremely nervous. When I looked down, I was nervous even more. If the cord had broken, I would be knocked to' bakemeat'. However, I knew my worries were unwanted. I was afraid if I retreated others might say something about me. I had to harden my heart and impose my head downward. I only felt wind wiring at my ears. My body rapidly descended. I thought that after only seven or eight seconds I was rebounded to upper air by the cord. In fact it was 30 seconds. Maybe because of my nervousness, I only felt seven or eight seconds. When rebounding to the high altitude, I felt a sudden sense of relief. I did not feel nervous very much, but very comfortable. ""","A young French fellow recalled his first bungee experience and said, "" When I fastened the cord and walked to the platform, I was extremely nervous. When I looked down, I was nervous even more. If the cord had broken, I would be knocked to' bakemeat'. However, I knew my worries were unwanted. I was afraid if I retreated others might say something about me. I had to harden my heart and impose my head downward. I felt wind wiring at my ears. My body rapidly descended. I thought that after seven or eight seconds I was rebounded to upper air by the cord. In fact it was 30 seconds. Maybe because of my nervousness, I felt seven or eight seconds. When rebounding to the high altitude, I felt a sudden sense of relief. I did not feel nervous very much, but very comfortable. """,It is hard to come by in life that you experience this kind of' comfortable',0.054725329377116605,False,True,-476.94325160980225,-479.0722875595093,-2.592082889183708,-2.6468082185608246,184,181,-48.348995208740234,-48.240519523620605,-2.302333105178106,-2.297167596362886,21,21,-1196.8957624435425,-1198.9163227081299,-2.8030345724673125,-2.827632836575778,427,424,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,1038,only,Can I order take-out here?,We only have spring rolls today for take-out.,We have spring rolls today for take-out.,"Then could I have four orders, please?",0.24646009717668793,False,True,-28.235116958618164,-29.422304153442383,-2.016794068472726,-2.263254165649414,14,13,-25.631003379821777,-24.554466247558594,-1.9716156446016753,-1.8888050959660456,13,13,-96.74256229400635,-96.81476783752441,-2.5458569024738513,-2.616615346960119,38,37,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,1099,only,How long is the warranty?__eou__We guarantee our product for two years.__eou__How about the repairs after the warranty expire? Are you responsible for the fixing if the machine breaks down after the warranty period?,Yes. All repairs are billed at cost. We'll only bill you for parts. The on-site service is $ 300 a year after the warranty.,Yes. All repairs are billed at cost. We'll bill you for parts. The on-site service is $ 300 a year after the warranty.,Will you supply spare parts if we want them?,-0.15982871736798954,False,True,-87.40697574615479,-79.47545719146729,-2.497342164175851,-2.3375134468078613,35,34,-24.16455078125,-24.042577743530273,-1.7260393415178572,-1.7173269816807337,14,14,-221.0675811767578,-213.0111598968506,-2.210675811767578,-2.1516278777459656,100,99,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,1142,only,Look! Allen has the mic!,I thought he only liked to listen!,I thought he liked to listen!,"That was before he heard Stanley sing! I guess he couldn't stand it any more, so he decided to give it a try himself!",0.05253014420018021,False,True,-28.473041534423828,-26.678119659423828,-2.372753461201986,-2.425283605402166,12,11,-66.36106491088867,-66.4500732421875,-2.073783278465271,-2.0765647888183594,32,32,-150.06501388549805,-148.37570190429688,-2.7284547979181464,-2.747698183412905,55,54,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,1272,only,"Excuse me, but can you tell me the way to the Today Mall?__eou__Yes, go down the fifth street. You won't miss it.__eou__How long will it take me to get there?",It's only about 10 minutes' walk.,It's about 10 minutes' walk.,Thank you very much.,-0.13397223608834408,False,True,-11.196398735046387,-8.655016899108887,-0.7997427667890277,-0.6657705307006836,14,13,-4.1035003662109375,-4.118010520935059,-0.4559444851345486,-0.45755672454833984,9,9,-115.05292415618896,-112.53240013122559,-1.534038988749186,-1.5207081098814268,75,74,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,1368,only,"Excuse me. How much is the chocolate bar?__eou__One dollar.__eou__So, I can have five for five dollars?","Actually, you can only have four.","Actually, you can have four.","Oh, yeah. I forgot tax. Give me four then, please.",0.2383296056227251,False,True,-14.578648567199707,-15.985386848449707,-1.2148873805999756,-1.4532169862227007,12,11,-38.32196044921875,-39.61856937408447,-2.0169452868009867,-2.0851878617939197,19,19,-125.89430379867554,-128.5627670288086,-1.8790194596817245,-1.947920712557706,67,66,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,1446,only,Excuse me. Have you got the time?__eou__My watch says half past five.__eou__Does your watch keep good time?,Oh yeah. It loses only a few seconds in the whole month.,Oh yeah. It loses a few seconds in the whole month.,Thanks a lot.,0.038373239679274196,False,True,-31.06935977935791,-29.99562931060791,-1.7260755432976618,-1.764448782976936,18,17,-8.017463684082031,-7.955536842346191,-1.002182960510254,-0.9944421052932739,8,8,-102.39711856842041,-101.24937629699707,-1.65156642852291,-1.6598258409343782,62,61,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,1492,only,Now I'm sure we'll never get all our things back. They're so clever these criminals. What's the point of collecting beautiful things for other people to steal?,I only wish it were this time yesterday.,I wish it were this time yesterday.,Think how happy we were. Now this.Things always go wrong.,-0.10079701741536473,False,True,-34.180938720703125,-30.342071533203125,-2.629302978515625,-2.5285059611002603,13,12,-51.788326263427734,-50.82106113433838,-2.877129236857096,-2.823392285241021,18,18,-213.8622760772705,-209.01708126068115,-3.099453276482181,-3.0737806067747226,69,68,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,1493,only,"Jane! What an enchanting skirt you have on!__eou__Thank you! Guess how much it costs.__eou__Bright colors, smooth material, exquisite craftsmanship, soft lines ... Darling, it looks elegant on you! It can't be any cheap stuff. Something around two hundred, I guess.",Your offer is way off the mark. It set me back only sixty-five.,Your offer is way off the mark. It set me back sixty-five.,"Then you got a windfall! Was sixty-five the original price, or did you get a special discount?",0.125972454171432,False,True,-45.95547008514404,-46.05117321014404,-2.297773504257202,-2.423745958428634,20,19,-54.041144371032715,-55.30734348297119,-2.0785055527320275,-2.127205518575815,26,26,-306.61031436920166,-307.98979473114014,-2.689564161133348,-2.7255734047003553,114,113,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,1538,only,"Excuse me. Would you tell me where The People's Park is?__eou__The People's Park is located on Nanjing Road, near Limbo road, just on the opposite side of the International Hotel.__eou__How long will it take me to get there?",Only about twenty minutes.,About twenty minutes.,"I'm not going in the wrong direction, am I?",-0.5478677219814725,False,True,-12.852291107177734,-7.041316986083984,-1.4280323452419705,-0.880164623260498,9,8,-23.33690071105957,-24.036252975463867,-1.4585562944412231,-1.5022658109664917,16,16,-173.87520790100098,-168.76975059509277,-1.9758546352386475,-1.939882190748193,88,87,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,1553,only,Our housing problem is a highly complicated issue.__eou__It is true. I think we should change some policies.__eou__Right. Like our LPF program. The mortgage size is linked with the amount of savings households have accumulated on their LPF accounts.,"Indeed, it's unfair. Households with higher salaries receive larger LPF contributions and thus qualify for larger loans. Lower-income households, on the other hand, can only get smaller loans, or perhaps nothing if they could not afford to purchase any housing.","Indeed, it's unfair. Households with higher salaries receive larger LPF contributions and thus qualify for larger loans. Lower-income households, on the other hand, can get smaller loans, or perhaps nothing if they could not afford to purchase any housing.",Like you and me!,0.0694379756747674,False,True,-112.24147272109985,-113.95036935806274,-2.040754049474543,-2.1101920251493103,55,54,-22.053897380828857,-22.053110122680664,-2.4504330423143177,-2.4503455691867404,9,9,-323.50616550445557,-325.2244334220886,-2.608920689552061,-2.6441010847324278,124,123,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,1577,only,"Excuse me, can you tell me where central Park Street is?__eou__Turn right at the third light and then go straight for two blocks.__eou__Is it far?",No. It's only a ten-minute walk.,No. It's a ten-minute walk.,I see. Thanks a lot.,0.06603914826780888,False,True,-11.809881210327148,-11.824827194213867,-0.8435629435947963,-0.9096020918626052,14,13,-11.190938949584961,-11.421722412109375,-1.0173580863259055,-1.0383384011008523,11,11,-110.8900375366211,-111.13503456115723,-1.6071019932843638,-1.6343387435464298,69,68,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,1579,only,"Excuse me, how do I get to the Forbidden City?__eou__Follow this road and turn right at the second intersection. It'll be right there.__eou__Is it far?","No, it should only take you about 15 minutes by foot.","No, it should take you about 15 minutes by foot.",Thank you.,0.06303025538625273,False,True,-15.49718952178955,-15.707748889923096,-0.8609549734327528,-0.9239852288190056,18,17,-5.058689117431641,-4.995797157287598,-0.7226698739188058,-0.7136853081839425,7,7,-102.18281841278076,-102.30162811279297,-1.4391946255321233,-1.4614518301827566,71,70,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,1602,only,How is your house hunting going?__eou__Not very well. I haven’t found anything within my price range yet.__eou__How much are you looking to spend?,I can only afford about 300 pounds a month.,I can afford about 300 pounds a month.,Looks like you’re not going to get more than a bedroom in a shared flat with that.,0.08915426163446338,False,True,-21.040510177612305,-20.885969161987305,-1.402700678507487,-1.4918549401419503,15,14,-43.06137180328369,-42.70283794403076,-1.8722335566645083,-1.8566451280013374,23,23,-134.8947458267212,-134.32869243621826,-1.686184322834015,-1.700363195395168,80,79,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,1624,only,"Hi, I want to check out.__eou__Okay. Come with me.__eou__Can I pay by a credit card?","Sorry, you can only pay cash.","Sorry, you can pay cash.",OK. Here is the money.,0.29185344594897655,False,True,-13.015865802764893,-15.141598224639893,-1.084655483563741,-1.3765089295127175,12,11,-16.048809051513672,-15.836219787597656,-1.4589826410466975,-1.4396563443270596,11,11,-104.79975080490112,-106.71777677536011,-1.8385921193842303,-1.9056745852742876,57,56,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,1706,only,"You see, the bungee participants take a deep breath when they stand at the starting spot and then, like diving, their heads are over heels and they jump off into the realm of the combination of heaven and earth The wind roars at their ears and their bodies rapidly descend. They do not even have enough time to do several gymnastic movements and they are rebounded to the upper air by the cord.__eou__Entrusting life to the care of a rope indeed requires infinite courage.","A young French fellow recalled his first bungee experience and said, When I fastened the cord and walked to the platform, I was extremely nervous. When I looked down, I was nervous even more.If the cord had broken, I would be knocked to bake meat. However, I knew my worries were unwanted. I was afraid if I retreated others might say something about me. I had to harden my heart and impose my head downward. I only felt wind wiring at my ears. My body rapidly descended. I thought that after only seven or eight seconds I was rebounded to upper air by the cord. In fact it was 30 seconds. Maybe because of my nervousness, I only felt seven or eight seconds. When rebounding to the high altitude, I felt a sudden sense of relief. I did not feel nervous very much, but very comfortable.","A young French fellow recalled his first bungee experience and said, When I fastened the cord and walked to the platform, I was extremely nervous. When I looked down, I was nervous even more.If the cord had broken, I would be knocked to bake meat. However, I knew my worries were unwanted. I was afraid if I retreated others might say something about me. I had to harden my heart and impose my head downward. I felt wind wiring at my ears. My body rapidly descended. I thought that after seven or eight seconds I was rebounded to upper air by the cord. In fact it was 30 seconds. Maybe because of my nervousness, I felt seven or eight seconds. When rebounding to the high altitude, I felt a sudden sense of relief. I did not feel nervous very much, but very comfortable.",It is hard to come by in life that you experience this kind of comfortable!,0.04082817241829506,False,True,-469.47359466552734,-468.7910804748535,-2.6227575120979183,-2.6635856845162134,179,176,-52.78350257873535,-52.96611022949219,-2.6391751289367678,-2.6483055114746095,20,20,-865.7722110748291,-865.2673454284668,-2.8479349048514115,-2.8746423436161685,304,301,
Llama 3 8B,base,/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv,1817,only,"What’s the matter, dear?__eou__Something awful happened. We went to the Portobello Road, and someone stole my handbag.__eou__Oh, dear. Did you lose a lot of money?",No. Only a few pounds. But my passport was in the bag. That’what I’m really worried about.,No. A few pounds. But my passport was in the bag. That’what I’m really worried about.,You must tell your embassy about it. And I think they’ll issue you with a new one.,0.16505222440396672,False,True,-42.54251265525818,-45.47954726219177,-1.5193754519735063,-1.684427676377473,28,27,-39.085747718811035,-39.274003982543945,-1.6285728216171265,-1.6364168326059978,24,24,-182.49157238006592,-185.63042068481445,-1.7717628386414166,-1.8199060851452398,103,102,
