generation_rank	just_response	wo_just_response
generation_14	"I have a bad feeling about this. I have a bad feeling about this.
A: Luke"	"That's about the only thing that's actually new. The thing is, it's just a feeling. I have no idea what it's a feeling about.

So I've got a bad feeling about this.

So, what am I feeling bad about"
generation_15	"This is not the place to be, you need to leave, you need to leave now.""

The man who was talking was the captain of the aircraft, Captain David Evans. He had noticed something strange about the ocean, the sea looked different.

""It"	". . .""

The idea of a ""galactic empire"" or ""space empire"" has been a staple of science fiction since the genre's inception; H. G. Wells's The First Men in the Moon (1901), the first """
generation_16	"It's like something isn't right here.""

In a sense, he was right. His subconscious was telling him that there was something wrong with the code.

The code was wrong.

The bug was in the application's logic. A call to the database"	"That's just how it is.

There's a lot of things we don't know about how the universe works. But we're trying to find them out. And one of the things we're trying to find out is what the heck is dark matter"
generation_17	"It's like something's not right here.""

But when he asked his teammates to go over the plan, they said it was all good.

""Everybody kind of just nodded their heads like, 'Yeah, everything's fine, we're going to be"	""":)

I'm a little concerned about the use of the word ""may"" in the article. It may be that the ""universe"" is a hologram, but we don't know that for a fact. I'm not sure I'm"
generation_18	It's the same with the whole M3 thing. It's a bad feeling. I think I may need to go back on Paxil.	I have a bad feeling about this. I have a bad feeling about this. I have a bad feeling about this. I have a bad feeling about this. We're gonna need a bigger boat. What do you mean we're a bit short on
generation_19	"I got a bad feeling about this."" The character's line is a reference to the film Star Wars: A New Hope. The line is spoken by Han Solo (Harrison Ford) in reference to the impending battle with the Galactic Empire. In the"	
generation_20	"- I'm not sure I can do that."" Luke was thinking of the two people he loved - his sister and Obi-Wan. 'This is crazy. I don't know why I'm doing this. I'm not a hero!' he"	"- Han Solo

I love you. I know. - Han Solo to Princess Leia

What's the difference between a walnut and a Jedi? I don't know. But when I figure it out, I'm gonna split his shell. - Han"
generation_21	I didn't see the need to test the code. I'm looking for more information about what's going on in the background so I can be confident about the design and implementation. Without that I don't know whether I'm in the right place.	"Yes, I know. What about the other day?

The Jedi have had the plans for that weapon for a long time. They know about it. They know it's being built. And they're doing nothing about it. Why? Because it's"
generation_22		". ."" I had no idea that it would be as bad as it is. This is the most frustrating software I've ever used. I'm a technical guy, so I'm able to work around most of the issues, but you had better be"
generation_23	"I've got a really bad feeling about this.

Han Solo, Star Wars

In Star Wars, Han Solo and Luke Skywalker are on the Millennium Falcon about to go into an asteroid field and Han is saying that he has a bad feeling about this."	"I feel like there's a storm coming. I can feel it in my bones. - Star Wars

I'm no expert at the weather. I don't know exactly what all the meteorological terms mean. I don't know what causes the weather"
generation_24		"We are doomed. We're gonna get a new government. The government we deserve. If this is the way the world ends, I guess we deserve it.

So, for 2 years, the government will be frozen. This is the end of"
generation_25	"Something about that hair is familiar. Maybe I've seen it in a dream.

The first rule of the Dream Police is: Don't talk about the Dream Police.

Okay, now I'm just imagining things. Or dreaming.

I guess I'll have"	"Sunday, 10 March 2013


If at first you don't succeed, try, try again. 

Ach, but so it is with life, and trying to succeed at anything.

I believe that if you try something"
generation_26		"I've got a bad feeling about this. I've got a bad feeling about this.
A: increase"
generation_27	"I don't like the way this is going. I'm kinda getting worried about this..."" Han Solo
  • ""I have a bad feeling about this."" Leia Organa
  • ""This is not good."" Obi-Wan Kenobi"	"I'm telling you, it'll be a disaster."" Obi-Wan Kenobi tries to convince Anakin Skywalker not to go along with Qui-Gon and the Jedi Council on the mission to Naboo, but Anakin is adamant. ""I"
generation_28	"When we are faced with a decision, there is always a choice.  We can choose to make a conscious choice, or we can make a decision based on unconscious feelings and intuition. 

While these may sound like similar things, there"	
generation_29		"(The Rebels flee the Death Star) Where are they going? (Rebels flee the Death Star, and the Death Star fires) Noooo! 
 Question: Who is Luke Skywalker's father?
A: vader"
generation_30	"I don't know why, but I just feel like we're walking into a trap.""

""I don't think Obi-Wan is going to let anything bad happen to us,"" Padmé said, not entirely convinced. ""And if he's"	I don't know why...
generation_31	"I don't like the looks of it.""

What do you think of the new look of the Death Star’s laser cannons?

See the latest updates on the hottest midterm races from Fox News

Full Elections Coverage →

Keep up with all the 2014"	
generation_32	"The more I read about this the more I wonder how to get out of it.

The problem is that I'm not going to be able to explain this very well, so I'm going to try to make a summary of what I know and what"	"This is not going to end well.""

The White House announced on Friday that the U.S. government would no longer enforce bans on so-called partial-birth abortion procedures.

What the ban does not do is make it illegal to perform the procedure in the"
generation_33	". . . You're not going to have any other problems, are you?"" I don't want to be a buzzkill, but. . . . You get the idea.

A second response is to simply ignore the bad feeling. This is what"	"Either this code is wrong, or the code you are testing against is wrong. Your code has several problems that need to be fixed.

  1. The result should be a byte[] or a byte string, not a string.
  2"
generation_34	"Does this product review convey a negative or positive sentiment?
A: Positive"	". ."" The original ending of ""A New Hope"" has Obi-Wan Kenobi telling Luke Skywalker that he is wrong about the Force being a ""hokey religion"" and that, when Skywalker is ready, he will return in time to help"
generation_35	"• 1
    $\begingroup$ You might find this helpful. $\endgroup$ – a CVn Apr 27 at 19:41
  • $\begingroup$ @aCVn That's awesome."	The fact is that the way we generate electricity today is not sustainable. It is consuming a lot of resources and causing a lot of environmental damage. But the way we are going to generate electricity in the future is still quite uncertain
generation_36	"This place seems like some sort of weird hive-mind. I was just thinking that.""

""Then you're thinking just like I am. That's exactly what this place seems to be. I don't like it.""

As they walked, they saw"	
generation_37	"I don't think we're going to make it.""

""Hey, we're just taking it easy. I'm sure we'll make it.""

""I don't know. I really feel like we're not going to make it. Something feels wrong."""	This is where I've taken my 2015 1YR in the last 4 years and a week ago I had a flat with a nail on the right rear. I had one tire replaced at Discount Tire and the other 3 on
generation_38	"I don't know what it is. There's something about that R2 unit that's... I don't know what it is. Something's not right here.

Obi-Wan Kenobi[src]

R2-D2 was a male astrom"	"- 

The Star Wars quote is one of the most famous lines from the films, and it's no wonder. It's a simple line that is a perfect description of how the characters are feeling and is a great way to build suspense"
generation_39	"I don't like the looks of it."" But, like a good son in the throes of his motherly guilt, he went to the bank.

As he was drawing out the money, he felt something on his shoulder. It was a hand"	"I don't like the look of this, it's the same with the other two planets.  I don't think they're going to be very nice places to live.""

     ""Well, I'm sure they'll be fine."
generation_40	"I can't shake it."" —Han Solo, Empire Strikes Back

""From now on, I'm gonna have a bad feeling about this. I got a bad feeling about this."" —Han Solo, Return of the Jedi

That's right,"	"And not just because that's the first line of every single Star Wars movie.

I've got a bad feeling about this.

And not just because that's the first line of every single Star Wars movie.

It's because we're facing down a truly"
generation_41	"These are the ""Star Wars"" films, as they appeared in the theaters in the late 1970s and early 1980s. The original ""Star Wars"" and ""The Empire Strikes Back"" were released on video casset"	""":)


If you have a bad feeling about something, then you're worried.

""I've got a bad feeling about this. I think we're in real trouble.""

If someone has a bad feeling about someone, they don't trust them.

""He's"
generation_42	"Thursday, 15 March 2012

Some more on the NBN


So, I'm off to the UK for a week. I'll be back in Australia on the 3rd April. That means I'll miss the Budget"	"I can feel it in my bones."" The Jedi Master turned to his Padawan, and said, ""Mickey, I think we're in trouble."" The young Padawan looked at the holocron in his hand and shrugged his shoulders. """
generation_43	It seems as if we've been here before, and we're going to do it again. And I can't quite figure out why we're going to do it again. With the Internet, we now have a real-time way of communicating with each	". .""
  9. I've got a bad feeling about this. . .
  10. I've got a bad feeling about this. . .
  11. I've got a bad feeling about this. . ."
generation_44	Like, maybe, we should back up data, and make sure everything is up to date. And then, maybe, we should double check the backups. Just to be sure. Because, you know, there are a lot of things that can go	"The worst thing is, if I'm right, we're all going to die. I'll be right back."" He left the room and quickly returned with a large knife. ""This will be good for cutting through the floor."" He started his cutting"
generation_45	"OPTIONS:
- negative
- positive

Sentiment: negative

Tweet: @KellisB yes.. I have just had to cancel my credit card too  I dont think I will ever order from here again 
OPTIONS:
- negative"	". .""

And, in fact, this is a serious matter. As the global economic crisis continues to ripple through the financial system, some important questions have been raised about how banks should be managed. Should their managers be held individually responsible for the failure"
generation_46	"It's too quiet, it's too good to be true. But if it really works, it's worth every penny.""

With a little patience, a willingness to take time to make your own notes, and a good understanding of the tools available,"	These are usually the words spoken by Luke Skywalker or Han Solo just before they get into a jam -- usually before a battle or during a battle. But it can be used in any situation in which you have a bad feeling about something. It's a
generation_47	"• If you're going to start a fight, make sure you know how it's going to end. 

As I said, a lot of these are pretty straight-forward, but if you have a favorite Star Wars quotation, I would"	We've been to this place before.  The last time we left too early, but the food was so bad we left before we got sick.  This time the food was so bad we were sick.  We ate at the sushi bar
generation_48	"I can't explain it. Something's not right here."" But, as is typical in the Star Wars saga, Han Solo is the only one to listen. ""Maybe you've got a bad feeling about this because you know what you have to do"	"It's just not right. It's just not right."" ""Well, I hope you feel better. I'm going to go to the bathroom and clean up. We're going to be late. I can't believe I'm doing this."" She"
generation_49	"It's probably nothing."" Han Solo's instincts were right when he said, ""I have a very bad feeling about this."" It was the beginning of a very bad day for Han, Luke, Leia, Chewbacca, and the rest of the"	"I don't like the looks of this place.""
  • ""I've got a bad feeling about this. This is not going to go the way we planned.""
  • ""This is not good. We're in trouble.""
  • ""I"
generation_50		
generation_51	And it's not about the 'I'm going to be a dick and try to ruin the game for everyone else for no reason' feeling. It's about the 'Why do I even care' feeling. It's one of those silly, pointless	"I really do.

Monday, April 30, 2012

The 2012 Presidential Election

My dear friends, 

We are approaching a very crucial time in our history.  Much is at stake in the 2012"
generation_52	"I have a very bad feeling about this.""

And indeed, the Jedi do have a bad feeling about this, as they should.

While the Jedi are watching a Senate hearing broadcast on a holoprojector, they notice a cloud of dark energy that blocks"	"(Darth Vader, Star Wars Episode IV)

The Force is strong with this one. (Obi-Wan Kenobi, Star Wars Episode IV)

Death Star

The Death Star, a moon-sized space station capable of destroying entire planets, was"
generation_53	"I can't shake it.""

It was true. She really had a bad feeling about this.

They were all there, at the table in the diner. She turned to him and said, ""This is probably the last time we'll be together like"	""":) –  jaybee May 20 '10 at 10:25
It's a joke. Don't worry. –  muntoo May 20 '10 at 10:28
muntoo: +1 for"
generation_54	"The answer to the question is most likely ""No"", but I don't want to leave the question unanswered. Especially since I don't know what the actual question was.

I do know that when I first started reading this, I thought ""How can"	"I'm going home.""
―Luke Skywalker to Han Solo — Gnome-speakernotesListen (file info)[src]

Rebel pilots in the hangar of the Tantive IV, shortly before the Battle of Tatooine

At"
generation_55		"This seems like a bad idea.

So if I could get somebody to tell me why it would be a good idea to put a large amount of water on a fire, I'd appreciate it. I get that steam (water vapor) is a good"
generation_56	"I don't know what it is. I don't know why I'm so nervous.

ROBERTS: I'm sure you'll do fine. I'm sure it'll be just great. Are you going to have time to do your thing after"	"I have a bad feeling about this."" said in Russian?
Я уверен, что это не получится.

How is ""The Mamas & the Papas Evening Moods lyrics are brought to you by Lyrics-Keeper."" said in Russian?"
generation_57	"I don't know why, but I feel like something bad is going to happen. I've had this feeling before, and I was right last time."" She said those words to Han Solo and Chewbacca. It wasn't a lie. She"	"I really do."" He muttered to himself. His hand was shaking just enough so that he could see it in the dim light. He rubbed it against his leg to try and stop it and then he reached out and pushed the button. The small light"
generation_58	"There's a lot of bad feeling around.""

If you're reading this and you're thinking, ""I've got a bad feeling about this,"" then you have a bad feeling about the word feeling.

The word feeling is not a feeling.

It's"	"- Obi-Wan Kenobi, Star Wars: A New Hope

The phrase, generally spoken in a tone of foreboding, is used to foreshadow a negative event which is about to occur or is already happening. It was made"
generation_59	I think we're being watched.	"I can't shake it. I just don't like this. I don't like it very much. I think we're in trouble.""
  • ""Do not underestimate the power of the dark side. Do not underestimate the power of the Emperor."
generation_60	"It's the kind of situation I don't want to be in.""

The US ambassador to the Czech Republic, Stuart Levey, has raised concerns about the meeting.

His comments come amid controversy over the US missile defense shield in the Czech Republic.

The"	"They're not going to be happy you brought the kid here.""
""You think they'll harm me?""
""Not you. What they'll do to him.""
―Darth Vader and Captain Vancil One[src]

By the Battle of Yavin, the"
generation_61	"I don't like this. This is not right. This is not good. This is bad. We're not gonna get out of here.""

The movie was a big success, but it was also the subject of much criticism. Many people thought that"	"A very bad feeling."".

The main problem is that the script requires the main character to make a bad decision. Bad enough that the audience wants to scream at the screen: ""No, don't do that! You're making a huge mistake!"
generation_62	It's probably nothing, but I'm going to go with my gut on this one. I wouldn't walk into a room full of sharks if I didn't have to, and that's how I feel about this one. I love dogs, but	". . .""

The day after the vote, a leading Israeli newspaper, Yediot Aharonot, reported that the majority of the public favors a unilateral withdrawal, as do 64 percent of the reservists and 60 percent of the officers"
generation_63	It's not a good feeling, either. It's like something is about to happen. Like you're about to get punched. It's like a punch is coming to you and you don't know when it's going to hit. It's like	I've got a bad feeling about this. I've got a bad feeling about this. I've got a bad feeling about this. I've got a bad feeling about this. I've got a bad feeling about this. I've got a bad
generation_64	"I don't like this place. I don't like this town. I don't like the people. I don't like the people. I don't like the people. (Han Solo)

The first thing you should do is to have your character"	
generation_65		
generation_66	"This is too weird. Let's go back to the ship."" But he didn't say that. He didn't have a bad feeling about this. He had no feelings about this. He didn't really have any feelings about anything. He wasn't"	"(Star Wars)

This is not the droid you're looking for. (Star Wars)

If you strike me down, I shall become more powerful than you can possibly imagine. (Star Wars)

I'll be back. (Terminator)"
generation_67	"The whole thing stinks. I think we should leave while we can. I'm going to go back and tell the captain that we're not going to be able to stay here much longer,"" Han said.

""You're right, Han. I think"	"Can anybody help me get my code to compile? Thanks!


This is an issue with the Scala compiler. The issue was first seen in Scala 2.8.2 and was fixed in Scala 2.8.3. If you are using"
generation_68	"Let's get out of here.""

Chill and cool

Chill and cool are fairly easy to explain. Chill is the noun form of the verb chill, meaning to cause something to lower in temperature. In the example above, the two friends are"	"This is not going to be good. I can just feel it.""

And I can just feel it. I don't want to think about this. I have a bad feeling about this. I don't want to think about this.

There are three"
generation_69	"I do not like this.

This is the face that I make when I don't like something. It's a universal sign of confusion and displeasure.

We're going to have to do some serious work on this thing to get it to look right"	Where's C-3PO?
generation_70	"Something's not right here.

It would be great if you could tell me why it's a bad idea to use the same variable names as the original code. I'm not using the same variable names as the original code, I'm using the same"	This is not the Jedi I once knew. What we are witnessing here is the end of the Jedi Order. You will tell me what it is you are looking for, and then you will go. That is all you are going to do. Now
generation_71	"I've got a bad feeling about this."" Obi-Wan Kenobi, feeling the same feeling felt by Han Solo in Star Wars: Episode V - The Empire Strikes Back, replies ""That's because it's wrong."" The scene is a reference"	"I've got a bad feeling about this. I've got a bad feeling about this.' "" His line is so good, it's become a staple of Star Wars culture. ""It's become a meme,"" says Josh Carter, the co-founder of"
generation_72	"I think we're in trouble here. I don't like the looks of this place.""
  7. 7.0 7.1 7.2 Star Wars Episode IV: A New Hope
  8. 8."	
generation_73	"A bad feeling,"" Han Solo (Harrison Ford) tells his co-pilot Chewbacca (Peter Mayhew) as they prepare to take Princess Leia (Carrie Fisher) to the hidden Rebel base. ""I don't know, but"	"There's going to be trouble.

- Han Solo, in ""A New Hope""

Just like Han Solo had in the original Star Wars, you always know when something is about to go horribly wrong. You just know it. There's no way it"
generation_74	"""Luke, I am your father... I mean, your mother.""  

Saturday, June 23, 2012

The Importance of the Space Program

Here's an interesting tidbit my wife sent me about the importance of the"	"- Obi-Wan Kenobi
""Star Wars"" is just a movie. We created these characters. They're not real. - George Lucas
If you find the ""Star Wars"" script and you see the words ""a long time ago"
generation_75	"question: Generate a tweet. negative

answer: So my cat has been acting strange all day, he's hiding from me and not eating  he's not been himself lately, I hope he's okay.

question: Generate a tweet. positive"	"I've got a bad feeling about this.""  I'm not talking about Luke Skywalker here -- I'm talking about the students.  It's day one and both of the classes I'm teaching have a bad feeling about this."
generation_76	"I think we should go back now.""

Luke Skywalker: ""Nooooo!""

The Death Star is destroyed.

Luke Skywalker: ""Yeah, it was a good idea after all. Come on, let's go home.""

Star Wars #4: The"	""": 1. you feel that something is wrong. 2. you are worried that something bad is going to happen. ""It's a trap!"": 1. a place where you can be caught or where you can be tricked."
generation_77	"We're not going to make it.""

    Luke's instinct was right. The moment they left the city, they were spotted by an Imperial probe droid, which transmitted the location of the Rebels to the Executor. Vader ordered their immediate capture. As"	"I'm not sure if this is the right place to ask but here goes: In a previous job I was tasked with the following problem: ""Is the number of distinct prime factors of $n$ equal to the number of distinct prime factors of its"
generation_78	"Something's not right here."" [to Han Solo] ""I don't trust him."" [to Luke Skywalker] ""Something's not right here. I don't know what it is but it doesn't feel right."" [to Leia] ""I"	""" [Star Wars: A New Hope SW]

""Something's not right here. "" [Star Wars: A New Hope SW]

The same thing happened to Han Solo in a different situation. In The Empire Strikes Back, Han was trying to get"
generation_79		"I've got a bad feeling about this."" The rest of them are essentially variations on the same theme.

I think the main reason the ""I've got a bad feeling about this"" line (and the related ""I've got a bad feeling I"
generation_80		""": Star Wars

A long time ago, in a galaxy far far away, there was a group of space people going on a quest to find a magic thing that will save the universe. But they were in danger of being killed by space monsters."
generation_81	"It will be a bad idea to go on this trip. We're going to have a bad time.""

Anticipation is the feeling you get before something happens. Anticipation can be a positive or negative feeling.

Positive anticipation is when you are excited"	"""It's never a good idea to let a bunch of eight-year-olds roam around a research facility,"" said Ender. ""They'll touch everything, and there'll be accidents. We should have sent an adult with them, or just stayed with"
generation_82	You're asking a lot of questions that aren't really relevant to the problem you're trying to solve. And a lot of your code doesn't make much sense. Try to improve your programming skills and get them to a level where you can understand the	
generation_83	"When the entire universe is telling you something, you should probably listen. This is the difference between a wise man and a fool.""
―Obi-Wan Kenobi[src]

A Force bond was an ability between two or more individuals, or a group"	". . .""

No, I'm not worried about the fate of the Empire. I'm worried about the fate of my students. The ones who have worked hard and are paying attention will succeed. The ones who are not working hard and are not"
generation_84		
generation_85	"I don't like the sound of this. I'm not sure I'm happy with that.

share|improve this answer

Your Answer"	Oh, and I'm also a Sith.
generation_86		"I feel the need to go to the bathroom. I've got to go to the bathroom."" And then they just keep repeating it. Or they say, ""My mouth hurts, my mouth hurts, my mouth hurts,"" and then they just keep repeating"
generation_87	"I hope I'm wrong..."" - Han Solo

One of those rare moments when the ""bad feeling"" is justified. 

As a kid, I always felt Han Solo was a bit of a whiner. ""I've got a bad feeling"	"What's that?
A: 1"
generation_88	"I don't like this.""

Just as the two scientists and their friend were about to take the elevator to go home, the elevator doors opened and out stepped a scientist with a huge smile on his face.

""Oh, look who's here!"" he said"	"Don't you?"" ""No,"" said Luke. ""I'm excited. This is the first time I've ever been in a real battle!"" Luke pressed the button on the remote control. The machine started and Luke laughed happily. Suddenly, the machine"
generation_89	The 14th century is coming to an end and many people are looking for a fresh start. The 15th century is approaching and it is the perfect time to found a new state, to create a new community and set off new beliefs.	""" - Anakin Skywalker

The Jedi Order faced several threats during the Clone Wars, most notably the Confederacy of Independent Systems, led by Count Dooku and General Grievous. The Order was divided because of the rise of clones, who"
generation_90	"""I'm getting a bad feeling about this."" I've heard that line far too many times. However, this time it's a little different. I've heard it from a few different people. I'm not exactly sure what is going to happen"	"- Obi-Wan Kenobi
Some of these things are not like the others. - Captain Obi-Wan Kenobi
I feel the force of your anger. - Han Solo
May the force be with you. - Darth Vader"
generation_91	I have a nagging feeling I've forgotten something. I fear that I've made an error of some sort in the code or logic. I'm not even sure what it is. I just keep thinking that there's something wrong. I just have	""" Star Wars: Episode IV – A New Hope (1977) Obi-Wan Kenobi (Alec Guinness) to Luke Skywalker (Mark Hamill) as they walk into the Mos Eisley Cantina to speak to Han Solo (H"
generation_92	"I think we're being watched."" -Han Solo

There are two types of people in this world: those who believe that Star Wars is fictional, and those who believe that it is a documentary. If you're reading this, chances are you're"	
generation_93	"I have a bad feeling about it."" What is going on? What's going on here? I don't know. I don't know. I'm just saying. I'm just saying. I'm just saying. I'm just saying. I"	"Like, maybe I'm just not making the right connections here."" (This is a Star Wars reference, in case it wasn't obvious.)

Okay, let's do an example. Let's say we've got a function that takes two integers, x"
generation_94	"This isn't gonna work out, I can feel it.""

To illustrate, I need to create a hypothetical situation. Imagine that you are dating a girl, and there is a question that, if asked, will almost certainly cause her to break up with"	"I don't think we're going to be walking away from this one."" Han Solo[src]

When Luke Skywalker, Han Solo, Chewbacca, Lando Calrissian, and the droids C-3PO and R2-D2"
generation_95	"I think we're going to need a bigger boat.""

The shark, according to the movie, could have been 25 feet long, but the real animal is considered small by the standards of the great white shark. It was only 13 feet long"	"(Star Wars: A New Hope)

This is a really bad feeling. (Star Wars: A New Hope)

So is this, but I don't think that's a valid answer. (Star Wars: A New Hope)

Which phrase denotes a"
generation_96	"I don't like the looks of this place. I feel like we're walking into a trap."" Han Solo to Luke Skywalker [src]

An atmospheric storm on the planet of Endor.

Storms were a weather phenomenon on planets and moons. They"	"I can't explain it, but I just know something's wrong. I'm not sure what it is, but something's wrong. ""I can feel it in my gut,"" I said to my colleague. It's not like I'm psychic or"
generation_97	"I think we're being watched."" ""You get that feeling often, Doc?"" ""Yes."" ""May I see your identification please?"" ""Sure. You don't happen to have ID on you, do you, Jabba?"" ""Not on me"	"Yes, the Dark Side is strong on this one, too. So much for that ""light is more powerful"" b.s. Vader's going to win this one, even if he is a little rusty.

Obi-Wan: I've got"
generation_98	"I don't think you should go in there."" ""What are you talking about?"" ""Just a feeling. Trust me."" ""I have no choice. If I don't go in there, I'll be fired."" ""I won't let that"	"-Han Solo
Han Solo's Guide to the Galaxy
by E. T. Dyson
All about the movie
The Force Files
Star Wars Universe
A guide to the Galaxy
All things considered...
Han's Guide to Star Wars"
generation_99	"I think it's time to take the ship out of here."" -- Han Solo, in Star Wars

There are many ways to measure the ""health"" of an organization. When it comes to the health of a startup, it can be helpful to"	"I can't believe he's here.""
""He's home,"" Luke replied. ""He's home right now. I know he is.""
Reassured, Luke continued to examine the ship.
Han said, ""He's here, Luke. I can"
