particle	train_fold	source_row_index	pool_row_index	component	layer_index	position_label	position_order	corruption_mode	clean_patch_position	corrupted_patch_position	clean_log_prob_per_token	corrupted_log_prob_per_token	patched_log_prob_per_token	raw_delta_per_token	restoration	restoration_clipped
not	0	134	116	resid	5	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-0.9376230345052832	0.8206131353097803	0.8537137351671149	0.8537137351671149
not	0	122	73	resid	6	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-0.4302204591887338	1.3049660069601876	1.0459403761361772	1.0
not	0	124	1	resid	6	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-0.8170894384384155	1.9807088454564412	0.8601028345832258	0.8601028345832258
not	0	133	197	resid	6	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6016664596704335	0.012276291847229004	0.013231867008544729	0.013231867008544729
not	0	134	116	resid	6	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-0.9253953975789687	0.8328407722360948	0.866434591248331	0.866434591248331
not	0	122	73	resid	7	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-0.41965978486197336	1.315526681286948	1.0544048385196179	1.0
not	0	124	1	resid	7	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-0.8862624168395996	1.9115358670552571	0.830065166535294	0.830065166535294
not	0	133	197	resid	7	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6069541986172016	0.006988552900460965	0.007532535370764393	0.007532535370764393
not	0	134	116	resid	7	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-0.9766399404581856	0.7815962293568779	0.8131230267291587	0.8131230267291587
not	0	122	73	resid	8	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-0.41132413489477976	1.3238623312541415	1.0610859266211656	1.0
not	0	124	1	resid	8	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-1.2345114549001057	1.563286828994751	0.6788415349228961	0.6788415349228961
not	0	133	197	resid	8	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6116785452916071	0.0022642062260553875	0.0024404499368305852	0.0024404499368305852
not	0	134	116	resid	8	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-0.9918975795016569	0.7663385903134066	0.7972499490788524	0.7972499490788524
not	0	122	73	resid	9	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-0.4446784939084734	1.290507972240448	1.0343521491691159	1.0
not	0	124	1	resid	9	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-1.59395645459493	1.2038418292999267	0.5227561699165912	0.5227561699165912
not	0	133	197	resid	9	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6000630855560303	0.01387966596163226	0.014960046275602138	0.014960046275602138
not	0	134	116	resid	9	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.0305213752914877	0.7277147945235758	0.7570682074624197	0.7570682074624197
not	0	122	73	resid	10	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-0.5768828902925763	1.158303575856345	0.9283893000655195	0.9283893000655195
not	0	124	1	resid	10	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-1.8696566740671794	0.9281416098276773	0.40303613089760365	0.40303613089760365
not	0	133	197	resid	10	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6071302523979774	0.006812499119685178	0.007342777727123612	0.007342777727123612
not	0	134	116	resid	10	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.0852219181902267	0.6730142516248367	0.7001612402395238	0.7001612402395238
not	0	122	73	resid	11	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-0.6287311315536499	1.1064553345952715	0.8868325325502252	0.8868325325502252
not	0	124	1	resid	11	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.0798978010813394	0.7179004828135174	0.3117410424217504	0.3117410424217504
not	0	133	197	resid	11	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.591349170758174	0.022593580759488585	0.02435224411220298	0.02435224411220298
not	0	134	116	resid	11	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.0686017309918123	0.6896344388232512	0.7174518263656875	0.7174518263656875
not	0	122	73	resid	12	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-0.9617043307849339	0.7734821353639875	0.6199519307646641	0.6199519307646641
not	0	124	1	resid	12	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.3704371134440105	0.4273611704508462	0.18557727701310528	0.18557727701310528
not	0	133	197	resid	12	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6141880750656128	-0.00024532354795026023	-0.00026441930518904163	0.0
not	0	134	116	resid	12	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.2327509417253382	0.5254852280897253	0.5466814233704309	0.5466814233704309
not	0	122	73	resid	13	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.3207919682775224	0.4143944978713989	0.33214040416425694	0.33214040416425694
not	0	124	1	resid	13	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.530507946014404	0.26729033788045253	0.11606813277733766	0.11606813277733766
not	0	133	197	resid	13	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.607207756776076	0.006734994741586453	0.007259240480180939	0.007259240480180939
not	0	134	116	resid	13	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.2864771660636454	0.4717590037514181	0.4907880752351151	0.4907880752351151
not	0	122	73	resid	14	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.4718897427831377	0.2632967233657837	0.21103436595573524	0.21103436595573524
not	0	124	1	resid	14	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.6821590423583985	0.11563924153645821	0.050215174058881804	0.050215174058881804
not	0	133	197	resid	14	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6046102322064912	0.009332519311171295	0.010058953950982141	0.010058953950982141
not	0	134	116	resid	14	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.3773111490642322	0.38092502075083123	0.39629017412820233	0.39629017412820233
not	0	122	73	resid	15	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.570800244808197	0.16438622134072434	0.1317568314145118	0.1317568314145118
not	0	124	1	resid	15	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.7533764521280926	0.044421831766764175	0.019289732313568994	0.019289732313568994
not	0	133	197	resid	15	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6101620839192317	0.0037806675984308757	0.004074951254701819	0.004074951254701819
not	0	134	116	resid	15	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.5369957264731913	0.2212404433418722	0.2301644918029709	0.2301644918029709
not	0	122	73	resid	16	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.5807918991361345	0.15439456701278687	0.12374844297355189	0.12374844297355189
not	0	124	1	resid	16	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.779892603556315	0.017905680338541785	0.007775361053013285	0.007775361053013285
not	0	133	197	resid	16	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.612544820858882	0.0013979306587805773	0.0015067442835620679	0.0015067442835620679
not	0	134	116	resid	16	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.5768803252893335	0.18135584452572995	0.18867109087402176	0.18867109087402176
not	0	122	73	resid	17	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.6038794347218104	0.13130703142711098	0.10524360413043869	0.10524360413043869
not	0	124	1	resid	17	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.7906098047892254	0.007188479105631362	0.003121524533642921	0.003121524533642921
not	0	133	197	resid	17	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6124133238425622	0.0015294276751003366	0.001648476905563575	0.001648476905563575
not	0	134	116	resid	17	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.6456595554071314	0.1125766144079321	0.11711755252660322	0.11711755252660322
not	0	122	73	resid	18	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.6332944801875524	0.10189198596136895	0.08166721704111614	0.08166721704111614
not	0	124	1	resid	18	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.7933711369832355	0.004427146911621271	0.0019224438849438	0.0019224438849438
not	0	133	197	resid	18	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6132032871246338	0.0007394643930287437	0.0007970236149378556	0.0007970236149378556
not	0	134	116	resid	18	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.6723679970292484	0.08586817278581504	0.08933178786284007	0.08933178786284007
not	0	122	73	resid	19	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.6395604269845145	0.09562603916440682	0.07664501208350931	0.07664501208350931
not	0	124	1	resid	19	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.7994526545206706	-0.0016543706258138613	-0.0007183937548306463	0.0
not	0	133	197	resid	19	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6146258757664607	-0.0006831242487981282	-0.000736298006180843	0.0
not	0	134	116	resid	19	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.6736831174177282	0.08455305239733524	0.0879636202199718	0.0879636202199718
not	0	122	73	resid	20	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.6177410994257246	0.11744536672319672	0.09413337235661749	0.09413337235661749
not	0	124	1	resid	20	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.8000128428141275	-0.0022145589192708037	-0.0009616498700380402	0.0
not	0	133	197	resid	20	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.61658487870143	-0.002642127183767551	-0.0028477879110673197	0.0
not	0	134	116	resid	20	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.6700674575917862	0.08816871222327727	0.0917251228358584	0.0917251228358584
not	0	122	73	resid	21	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.6612736412457056	0.07391282490321571	0.05924170244146091	0.05924170244146091
not	0	124	1	resid	21	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.7997507731119793	-0.0019524892171225439	-0.0008478487456611979	0.0
not	0	133	197	resid	21	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6157855162253747	-0.0018427647077121634	-0.001986203801923372	0.0
not	0	134	116	resid	21	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.7103784224566292	0.04785774735843429	0.049788157776233584	0.049788157776233584
not	0	122	73	resid	22	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.6563671912465776	0.07881927490234375	0.06317426017109523	0.06317426017109523
not	0	124	1	resid	22	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.7978219350179034	-2.3651123046697364e-05	-1.0270261588524027e-05	0.0
not	0	133	197	resid	22	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6178443065056434	-0.0039015549879808376	-0.004205248406434676	0.0
not	0	134	116	resid	22	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.7172258671592264	0.04101030265583705	0.042664511636694526	0.042664511636694526
not	0	122	73	resid	23	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.6522271292550224	0.082959336893899	0.06649255196841292	0.06649255196841292
not	0	124	1	resid	23	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.7972848892211912	0.0005133946736655126	0.00022293645787090942	0.00022293645787090942
not	0	133	197	resid	23	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6183818853818452	-0.004439133864182709	-0.004784671923326031	0.0
not	0	134	116	resid	23	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.7133571225054123	0.0448790473096512	0.04668930761752985	0.04668930761752985
not	0	122	73	resid	24	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.7036724771772112	0.031513988971710205	0.025258706589149887	0.025258706589149887
not	0	124	1	resid	24	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.7989301045735675	-0.0011318206787107599	-0.000491481711828627	0.0
not	0	133	197	resid	24	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6177140199221098	-0.0037712684044473033	-0.00406482043618383	0.0
not	0	134	116	resid	24	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.7234652252758251	0.034770944539238346	0.036173480121879764	0.036173480121879764
not	0	122	73	resid	25	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.705066510609218	0.03011995553970337	0.02414137798101541	0.02414137798101541
not	0	124	1	resid	25	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.7983453114827475	-0.0005470275878907138	-0.00023754121158155582	0.0
not	0	133	197	resid	25	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6158477251346295	-0.001904973616966954	-0.0020532549949260717	0.0
not	0	134	116	resid	25	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.7256060453022228	0.03263012451284064	0.03394630706990733	0.03394630706990733
not	0	122	73	resid	26	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.6989710245813643	0.03621544156755707	0.029026957310056598	0.029026957310056598
not	0	124	1	resid	26	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.799008369445801	-0.00121008555094404	-0.0005254674430533622	0.0
not	0	133	197	resid	26	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6174299716949463	-0.0034872201772837563	-0.00375866215869963	0.0
not	0	134	116	resid	26	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.7273601924671846	0.030875977347878836	0.03212140388009058	0.03212140388009058
not	0	122	73	resid	27	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.70529819386346	0.029888272285461426	0.02395568205576234	0.02395568205576234
not	0	124	1	resid	27	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.797933069864909	-0.00013478597005223136	-5.852944776306016e-05	0.0
not	0	133	197	resid	27	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6153594713944655	-0.0014167198768029188	-0.0015269960368732513	0.0
not	0	134	116	resid	27	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.7297876091564404	0.028448560658623112	0.029596073880578447	0.029596073880578447
not	0	122	73	resid	28	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.703643764768328	0.03154270138059334	0.02528171980756847	0.02528171980756847
not	0	124	1	resid	28	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.7982702255249023	-0.0004719416300456025	-0.0002049358918607291	0.0
not	0	133	197	resid	28	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6149017077225905	-0.0009589562049279188	-0.001033600465721177	0.0
not	0	134	116	resid	28	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.7349529932526981	0.023283176562365338	0.02422233665819733	0.02422233665819733
not	0	122	73	resid	29	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.7041671446391515	0.031019321509769826	0.024862226781672395	0.024862226781672395
not	0	124	1	resid	29	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.7968339920043945	0.00096429189046221	0.00041873402557609965	0.00041873402557609965
not	0	133	197	resid	29	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6150519481072059	-0.0011091965895433376	-0.001195535422407023	0.0
not	0	134	116	resid	29	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.7346998383017147	0.023536331513348774	0.024485702974772962	0.024485702974772962
not	0	122	73	resid	30	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.7331135869026184	0.00207287924630295	0.0016614287935464425	0.0016614287935464425
not	0	124	1	resid	30	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.7982251485188803	-0.0004268646240235263	-0.00018536165673624345	0.0
not	0	133	197	resid	30	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6147350347959077	-0.0007922832782452094	-0.0008539538731478393	0.0
not	0	134	116	resid	30	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.7570109612801497	0.001225208534913813	0.0012746290666003596	0.0012746290666003596
not	0	122	73	resid	31	utterance_final_lexical	0	prompt_without	28	27	-0.4875379034451076	-1.7351864661489214	-1.7351864661489214	0.0	0.0	0.0
not	0	124	1	resid	31	utterance_final_lexical	0	prompt_without	24	23	-0.49492383003234863	-2.7977982838948567	-2.7977982838948567	0.0	0.0	0.0
not	0	133	197	resid	31	utterance_final_lexical	0	prompt_without	49	48	-0.6861604635532086	-1.6139427515176625	-1.6139427515176625	0.0	0.0	0.0
not	0	134	116	resid	31	utterance_final_lexical	0	prompt_without	44	43	-0.7970086511443643	-1.7582361698150635	-1.7582361698150635	0.0	0.0	0.0
not	0	139	42	resid	0	utterance_final_lexical	0	prompt_without	41	40	-0.6637599070866903	-2.057447486453586	-2.0596716933780246	-0.0022242069244384766	-0.0015959150080456749	0.0
not	0	155	130	resid	0	utterance_final_lexical	0	prompt_without	69	68	-0.6468315124511719	-1.6258811950683594	-1.6269656590053014	-0.0010844639369420594	-0.0011076699744624599	0.0
not	0	162	271	resid	0	utterance_final_lexical	0	prompt_without	38	37	-1.1560872395833333	-2.4831339518229165	-2.4820353190104165	0.0010986328125	0.0008278780259708404	0.0008278780259708404
not	0	164	22	resid	0	utterance_final_lexical	0	prompt_without	47	46	-0.7339491844177246	-2.6290283203125	-0.869140625	1.7598876953125	0.9286618495124512	0.9286618495124512
not	0	139	42	resid	1	utterance_final_lexical	0	prompt_without	41	40	-0.6637599070866903	-2.057447486453586	-2.0627552933163114	-0.005307806862725251	-0.003808462485642876	0.0
not	0	155	130	resid	1	utterance_final_lexical	0	prompt_without	69	68	-0.6468315124511719	-1.6258811950683594	-1.6336258479527064	-0.007744652884347003	-0.007910377810086267	0.0
not	0	162	271	resid	1	utterance_final_lexical	0	prompt_without	38	37	-1.1560872395833333	-2.4831339518229165	-2.48358154296875	-0.00044759114583348136	-0.0003372836402104539	0.0
not	0	164	22	resid	1	utterance_final_lexical	0	prompt_without	47	46	-0.7339491844177246	-2.6290283203125	-0.7929573059082031	1.8360710144042969	0.9688624499247535	0.9688624499247535
not	0	139	42	resid	2	utterance_final_lexical	0	prompt_without	41	40	-0.6637599070866903	-2.057447486453586	-2.052585098478529	0.004862387975057114	0.003488865113704988	0.003488865113704988
not	0	155	130	resid	2	utterance_final_lexical	0	prompt_without	69	68	-0.6468315124511719	-1.6258811950683594	-1.6272084372384208	-0.0013272421700614156	-0.0013556433280417833	0.0
not	0	162	271	resid	2	utterance_final_lexical	0	prompt_without	38	37	-1.1560872395833333	-2.4831339518229165	-2.4817911783854165	0.0013427734375	0.001011850920631027	0.001011850920631027
not	0	164	22	resid	2	utterance_final_lexical	0	prompt_without	47	46	-0.7339491844177246	-2.6290283203125	-0.7772464752197266	1.8517818450927734	0.9771527795426027	0.9771527795426027
not	0	139	42	resid	3	utterance_final_lexical	0	prompt_without	41	40	-0.6637599070866903	-2.057447486453586	-1.9401906066470676	0.11725687980651855	0.08413426476813715	0.08413426476813715
not	0	155	130	resid	3	utterance_final_lexical	0	prompt_without	69	68	-0.6468315124511719	-1.6258811950683594	-1.5734803336007255	0.0524008614676339	0.05352216787155923	0.05352216787155923
not	0	162	271	resid	3	utterance_final_lexical	0	prompt_without	38	37	-1.1560872395833333	-2.4831339518229165	-2.4795939127604165	0.0035400390625	0.0026676069725727076	0.0026676069725727076
not	0	164	22	resid	3	utterance_final_lexical	0	prompt_without	47	46	-0.7339491844177246	-2.6290283203125	-0.7360744476318359	1.892953872680664	0.9988785359018224	0.9988785359018224
not	0	139	42	resid	4	utterance_final_lexical	0	prompt_without	41	40	-0.6637599070866903	-2.057447486453586	-1.9587933752271864	0.09865411122639967	0.07078638906376336	0.07078638906376336
not	0	155	130	resid	4	utterance_final_lexical	0	prompt_without	69	68	-0.6468315124511719	-1.6258811950683594	-1.2461714063371931	0.37970978873116623	0.38783505625182285	0.38783505625182285
not	0	162	271	resid	4	utterance_final_lexical	0	prompt_without	38	37	-1.1560872395833333	-2.4831339518229165	-2.47784423828125	0.005289713541666519	0.003986079384303934	0.003986079384303934
not	0	164	22	resid	4	utterance_final_lexical	0	prompt_without	47	46	-0.7339491844177246	-2.6290283203125	-0.7434673309326172	1.8855609893798828	0.9949774411344576	0.9949774411344576
not	0	139	42	resid	5	utterance_final_lexical	0	prompt_without	41	40	-0.6637599070866903	-2.057447486453586	-1.984748813841078	0.07269867261250806	0.052162818761384504	0.052162818761384504
not	0	155	130	resid	5	utterance_final_lexical	0	prompt_without	69	68	-0.6468315124511719	-1.6258811950683594	-0.830369131905692	0.7955120631626674	0.8125349277843706	0.8125349277843706
not	0	162	271	resid	5	utterance_final_lexical	0	prompt_without	38	37	-1.1560872395833333	-2.4831339518229165	-2.4880574544270835	-0.004923502604166963	-0.003710120042313989	0.0
